duration,model,algo,variables,n_variables,période,fit_début,es_début,cal_début,cal_fin,n_fit,n_es,n_cal,n_iter_hgb,auc_cal_brut,acc_cal_brut,brier_cal_brut,auc_test_proxy,acc_test_proxy,brier_test_proxy,p_test_sd,secondes
5m,logit_ind,logit,ind,172,full,2025-09-30 00:00:00+00:00,2026-05-26 11:11:15+00:00,2026-06-27 06:16:45+00:00,2026-08-13 22:55:00+00:00,205998,27432,41208,,0.540058,0.52849,0.248769,0.531252,0.521164,0.249394,0.0384859,29.7953
5m,hgb_ind,hgb,ind,172,full,2025-09-30 00:00:00+00:00,2026-05-26 11:11:15+00:00,2026-06-27 06:16:45+00:00,2026-08-13 22:55:00+00:00,205998,27432,41208,86,0.541064,0.526233,0.248615,0.532917,0.524388,0.249311,0.0392733,17.5275
5m,logit_ind1s,logit,ind1s,184,s1,2026-05-15 01:00:00+00:00,2026-07-22 05:26:15+00:00,2026-07-31 07:37:45+00:00,2026-08-13 22:55:00+00:00,58875,7815,11784,,0.56119,0.53946,0.246863,0.544422,0.527089,0.249106,0.0604281,5.47433
5m,hgb_ind1s,hgb,ind1s,184,s1,2026-05-15 01:00:00+00:00,2026-07-22 05:26:15+00:00,2026-07-31 07:37:45+00:00,2026-08-13 22:55:00+00:00,58875,7815,11784,113,0.560329,0.541497,0.247014,0.544715,0.526951,0.248843,0.0598273,5.30654
5m,logit_tw,logit,tw,21,s1,2026-05-15 01:00:00+00:00,2026-07-22 05:26:15+00:00,2026-07-31 07:37:45+00:00,2026-08-13 22:55:00+00:00,58875,7815,11784,,0.565256,0.54294,0.246509,0.545424,0.529128,0.249093,0.0730866,0.363976
5m,hgb_tw,hgb,tw,21,s1,2026-05-15 01:00:00+00:00,2026-07-22 05:26:15+00:00,2026-07-31 07:37:45+00:00,2026-08-13 22:55:00+00:00,58875,7815,11784,98,0.560589,0.54277,0.246898,0.542823,0.529652,0.249086,0.0652945,1.35279
15m,logit_ind,logit,ind,172,full,2025-09-30 00:00:00+00:00,2026-05-26 11:03:45+00:00,2026-06-27 06:08:15+00:00,2026-08-13 22:45:00+00:00,205986,27426,41208,,0.539623,0.526573,0.248918,0.536839,0.524912,0.249008,0.0372536,25.922
15m,hgb_ind,hgb,ind,172,full,2025-09-30 00:00:00+00:00,2026-05-26 11:03:45+00:00,2026-06-27 06:08:15+00:00,2026-08-13 22:45:00+00:00,205986,27426,41208,89,0.544476,0.529145,0.248353,0.535419,0.52505,0.249061,0.042144,17.8197
15m,logit_ind1s,logit,ind1s,184,s1,2026-05-15 01:00:00+00:00,2026-07-22 05:18:45+00:00,2026-07-31 07:29:15+00:00,2026-08-13 22:45:00+00:00,58863,7809,11784,,0.543528,0.531229,0.249008,0.536176,0.524278,0.249623,0.0499322,5.86439
15m,hgb_ind1s,hgb,ind1s,184,s1,2026-05-15 01:00:00+00:00,2026-07-22 05:18:45+00:00,2026-07-31 07:29:15+00:00,2026-08-13 22:45:00+00:00,58863,7809,11784,97,0.5385,0.528004,0.248988,0.531834,0.520448,0.249563,0.0454109,4.75155
15m,logit_tw,logit,tw,21,s1,2026-05-15 01:00:00+00:00,2026-07-22 05:18:45+00:00,2026-07-31 07:29:15+00:00,2026-08-13 22:45:00+00:00,58863,7809,11784,,0.545438,0.530041,0.248716,0.535744,0.524058,0.249424,0.0518275,0.413476
15m,hgb_tw,hgb,tw,21,s1,2026-05-15 01:00:00+00:00,2026-07-22 05:18:45+00:00,2026-07-31 07:29:15+00:00,2026-08-13 22:45:00+00:00,58863,7809,11784,127,0.532595,0.523167,0.249396,0.523851,0.514798,0.249823,0.0379849,1.24819
