modèle,bin,p_mean,up_rate,n,p_lo,p_hi
market,0,0.465407,0.480328,4143,0.285,0.485
market,1,0.486592,0.486427,5489,0.485,0.495
market,2,0.495,0.486301,9307,0.495,0.5
market,3,0.5,0.495279,8472,0.5,0.505
market,4,0.505623,0.502891,13492,0.505,0.515
market,5,0.525149,0.53504,7420,0.515,0.795
logit_ind,0,0.418716,0.454763,4598,0.371981,0.461681
logit_ind,1,0.461682,0.482299,4576,0.461681,0.464533
logit_ind,2,0.469629,0.487343,5175,0.464533,0.486083
logit_ind,3,0.486245,0.492212,4494,0.486083,0.488539
logit_ind,4,0.497246,0.492687,4581,0.488539,0.503699
logit_ind,5,0.504966,0.495945,4686,0.503699,0.509911
logit_ind,6,0.509933,0.504773,10056,0.509911,0.519774
logit_ind,7,0.528042,0.517923,4603,0.519774,0.536244
logit_ind,8,0.559263,0.551674,5554,0.536244,0.626168
hgb_ind,0,0.415715,0.456075,4576,0.371154,0.436613
hgb_ind,1,0.443766,0.48898,3675,0.436613,0.460023
hgb_ind,2,0.473922,0.487308,5988,0.460023,0.486339
hgb_ind,3,0.486369,0.493325,3146,0.486339,0.493592
hgb_ind,4,0.494268,0.486262,5896,0.493592,0.496603
hgb_ind,5,0.496962,0.493002,4787,0.496603,0.502871
hgb_ind,6,0.504154,0.50165,5454,0.502871,0.508389
hgb_ind,7,0.508389,0.507382,2032,0.508389,0.514468
hgb_ind,8,0.520814,0.513926,7073,0.514468,0.548913
hgb_ind,9,0.561613,0.553722,5696,0.548913,0.637681
logit_ind1s,0,0.377808,0.444842,4750,0.306122,0.430344
logit_ind1s,1,0.430463,0.467783,3942,0.430344,0.44385
logit_ind1s,2,0.451414,0.474656,3413,0.44385,0.458284
logit_ind1s,3,0.459986,0.489253,5676,0.458284,0.472878
logit_ind1s,4,0.482387,0.492044,5656,0.472878,0.492048
logit_ind1s,5,0.492048,0.495021,2109,0.492048,0.497398
logit_ind1s,6,0.497398,0.498481,8229,0.497398,0.5
logit_ind1s,7,0.514262,0.520661,3388,0.5,0.515932
logit_ind1s,8,0.524217,0.530269,6310,0.515932,0.545946
logit_ind1s,9,0.584738,0.565773,4850,0.545946,0.762712
hgb_ind1s,0,0.366802,0.44582,2261,0.295455,0.410064
hgb_ind1s,1,0.414411,0.455315,4845,0.410064,0.44
hgb_ind1s,2,0.442468,0.474618,6028,0.44,0.467132
hgb_ind1s,3,0.467135,0.482738,5098,0.467132,0.479812
hgb_ind1s,4,0.479812,0.494363,3016,0.479812,0.490746
hgb_ind1s,5,0.490747,0.48672,3238,0.490746,0.492494
hgb_ind1s,6,0.492808,0.507945,9188,0.492494,0.495935
hgb_ind1s,7,0.520214,0.521935,4650,0.495935,0.532064
hgb_ind1s,8,0.539291,0.516011,4372,0.532064,0.542005
hgb_ind1s,9,0.583416,0.565843,5627,0.542005,0.658333
logit_tw,0,0.357101,0.44005,4779,0.261538,0.40411
logit_tw,1,0.443323,0.469877,4299,0.40411,0.458333
logit_tw,2,0.462739,0.479438,4912,0.458333,0.476052
logit_tw,3,0.477457,0.493002,7931,0.476052,0.488018
logit_tw,4,0.495118,0.505851,11879,0.488018,0.511541
logit_tw,5,0.520106,0.5,3646,0.511541,0.529695
logit_tw,6,0.549338,0.532564,4161,0.529695,0.575884
logit_tw,7,0.601347,0.551072,6716,0.575884,0.7
hgb_tw,0,0.385897,0.439558,4252,0.291667,0.427586
hgb_tw,1,0.437221,0.47869,5373,0.427586,0.455392
hgb_tw,2,0.462329,0.484415,9079,0.455392,0.491345
hgb_tw,3,0.492364,0.494552,5231,0.491345,0.503276
hgb_tw,4,0.503368,0.493038,3878,0.503276,0.507626
hgb_tw,5,0.507636,0.510314,7999,0.507626,0.529003
hgb_tw,6,0.532093,0.523293,6912,0.529003,0.560837
hgb_tw,7,0.600012,0.55367,5599,0.560837,0.710744
