modèle,n_marchés_échantillon,n_positions,n_avec_transaction,prix_supposé_moyen,prix_payé_moyen,surcoût,surcoût_ic_bas,surcoût_ic_haut,pnl_par_part_ask_supposé,pnl_par_part_prix_payé,pnl_prix_payé_ic_bas,pnl_prix_payé_ic_haut,période,n_avec_transaction_10s,surcoût_10s,surcoût_10s_ic_bas,surcoût_10s_ic_haut
logit_ind,600,161,120,0.505333,0.517905,0.0125722,0.00403355,0.0208139,0.0105407,-0.00184833,-0.0935554,0.0930155,18/09–24/09,72,0.010969,0.0044662,0.0174016
hgb_ind,600,39,29,0.512414,0.533797,0.0213833,0.00841264,0.0360088,0.0563169,0.0351078,-0.142942,0.210429,18/09–24/09,19,0.0169666,0.00046155,0.0350512
logit_ind1s,600,97,73,0.504726,0.525545,0.0208185,0.00713606,0.0332919,-0.0701345,-0.0906843,-0.20847,0.0266361,18/09–24/09,49,0.0256572,0.0159517,0.0348058
hgb_ind1s,600,190,144,0.509583,0.532204,0.0226203,0.0139197,0.0304551,-0.0548347,-0.0772009,-0.161963,0.00459972,18/09–24/09,88,0.022084,0.0151588,0.0291135
logit_tw,600,358,256,0.501953,0.522108,0.0201546,0.0146935,0.0256213,0.00010582,-0.0198446,-0.0837089,0.0397187,18/09–24/09,162,0.0207206,0.016671,0.0249533
hgb_tw,600,217,148,0.502703,0.531323,0.0286201,0.0202833,0.036681,-0.0877466,-0.116114,-0.201195,-0.0327994,18/09–24/09,98,0.0274666,0.0217036,0.0333472
stack,600,138,108,0.500833,0.532263,0.0314295,0.0234095,0.0399963,-0.0368124,-0.06802,-0.16345,0.023838,18/09–24/09,67,0.02503,0.0178242,0.032972
gap_m30,600,600,420,0.50675,0.524039,0.0172886,0.0129448,0.0216632,0.00435095,-0.0127624,-0.0609427,0.0333913,18/09–24/09,262,0.0168196,0.0137619,0.0199105
rev15,600,600,417,0.513118,0.518766,0.00564824,0.000861423,0.0103575,-0.0197921,-0.0252586,-0.0735464,0.0225201,18/09–24/09,241,0.00348445,-0.000637855,0.0074083
always_up,600,600,407,0.504435,0.508983,0.00454812,-2.86678e-05,0.0091824,-0.0010215,-0.00541227,-0.0572561,0.0482447,18/09–24/09,251,0.00240658,-0.00139915,0.00635492
mkt_gt_05,600,600,424,0.518314,0.523949,0.00563544,0.00119285,0.00999048,0.0396966,0.034229,-0.0134137,0.082641,18/09–24/09,241,0.0015416,-0.0026629,0.00565189
