échantillon,cellule,modèle,n,justesse,justesse_ic_bas,justesse_ic_haut,d_justesse_vs_marché,d_justesse_ic_bas,d_justesse_ic_haut,auc,auc_ic_bas,auc_ic_haut,brier,brier_ic_bas,brier_ic_haut,d_brier_vs_marché,d_brier_ic_bas,d_brier_ic_haut,logloss,p_moyen,p_sd
période complète,Tous,market,48323,0.511227,0.504884,0.517471,0,0,0,0.517909,0.50915,0.525045,0.249857,0.249635,0.250073,0,0,0,0.69287,0.49998,0.017579
période complète,Tous,logit_ind,48323,0.517207,0.510728,0.523556,0.00598059,-8.27717e-05,0.0121267,0.526075,0.518007,0.533199,0.249665,0.249132,0.250224,-0.000192461,-0.000647525,0.000262307,0.692485,0.495875,0.0381394
période complète,Tous,hgb_ind,48323,0.51818,0.511243,0.524964,0.00695321,0.000558322,0.0136737,0.525476,0.517113,0.534012,0.249708,0.249131,0.250297,-0.000149465,-0.000627379,0.000315942,0.692571,0.493753,0.0398462
période complète,Tous,logit_ind1s,48323,0.524512,0.517773,0.531013,0.0132856,0.0051092,0.0222204,0.535801,0.527232,0.542663,0.249985,0.249155,0.250836,0.000127803,-0.000619794,0.000910697,0.693297,0.484,0.0578667
période complète,Tous,hgb_ind1s,48323,0.522691,0.515789,0.529211,0.0114645,0.00308242,0.0198242,0.536014,0.527967,0.542431,0.249558,0.248814,0.25035,-0.00029889,-0.000959135,0.000393983,0.692303,0.486508,0.0564334
période complète,Tous,logit_tw,48323,0.522629,0.516398,0.528633,0.0114024,0.0030206,0.0198572,0.534446,0.52893,0.541759,0.250277,0.249405,0.251169,0.000420046,-0.000443411,0.00129006,0.693878,0.491989,0.068098
période complète,Tous,hgb_tw,48323,0.52176,0.515796,0.527919,0.0105333,0.00308087,0.0187558,0.532525,0.525939,0.539664,0.249912,0.249156,0.250661,5.43158e-05,-0.000704348,0.000755817,0.693044,0.492788,0.059645
période complète,Tous,gap_m30,48323,0.52416,0.518092,0.530269,0.0129338,0.00391008,0.0214145,0.532108,0.525723,0.539152,,,,,,,,,
période complète,Tous,rev15,48323,0.509095,0.502203,0.515513,-0.00213149,-0.00921317,0.0046796,0.51415,0.506183,0.521622,,,,,,,,,
période complète,Tous,always_up,48323,0.499493,0.491296,0.508342,-0.0117335,-0.0204221,-0.0024189,,,,,,,,,,,,
période complète,Tous,mkt_gt_05,48323,0.512882,0.506839,0.519009,0.00165553,-0.00273223,0.00602442,0.517909,0.50915,0.525045,,,,,,,,,
période complète,Tous 5m,market,36242,0.508526,0.502331,0.514628,0,0,0,0.515222,0.507894,0.521461,0.249907,0.249703,0.250105,0,0,0,0.692968,0.500019,0.016887
période complète,Tous 5m,logit_ind,36242,0.516638,0.509842,0.523202,0.00811214,0.00168271,0.0145695,0.525391,0.518499,0.532897,0.249722,0.249189,0.250256,-0.000184849,-0.000646796,0.000287949,0.692598,0.495065,0.0384969
période complète,Tous 5m,hgb_ind,36242,0.519066,0.512348,0.526043,0.0105403,0.00366923,0.0177134,0.525415,0.517819,0.532399,0.249723,0.249166,0.250305,-0.000183621,-0.000671935,0.000310858,0.692602,0.493139,0.0392879
période complète,Tous 5m,logit_ind1s,36242,0.52395,0.517398,0.530772,0.0154241,0.0067605,0.0245348,0.53703,0.528679,0.54415,0.249849,0.248957,0.250704,-5.72253e-05,-0.000897504,0.000763824,0.69302,0.482748,0.0604482
période complète,Tous 5m,hgb_ind1s,36242,0.524723,0.51796,0.531289,0.0161967,0.00772324,0.0246089,0.539845,0.532124,0.545854,0.249287,0.24844,0.250111,-0.000619408,-0.00138629,0.000158628,0.69176,0.486441,0.0598353
période complète,Tous 5m,logit_tw,36242,0.525054,0.518564,0.531524,0.0165278,0.00756041,0.0254979,0.537826,0.531764,0.544536,0.25027,0.249251,0.25124,0.000363113,-0.00061837,0.00129734,0.693884,0.490367,0.0730943
période complète,Tous 5m,hgb_tw,36242,0.525909,0.519633,0.532626,0.0173831,0.00899205,0.0259712,0.536913,0.529902,0.544013,0.249758,0.248892,0.250611,-0.00014871,-0.00103419,0.000686745,0.692757,0.4914,0.0653074
période complète,Tous 5m,gap_m30,36242,0.524585,0.518156,0.530972,0.0160587,0.00739283,0.0246391,0.533895,0.526757,0.541085,,,,,,,,,
période complète,Tous 5m,rev15,36242,0.510182,0.50335,0.516709,0.00165554,-0.00537974,0.0090527,0.515458,0.508456,0.523357,,,,,,,,,
période complète,Tous 5m,always_up,36242,0.499227,0.49193,0.507189,-0.0092986,-0.0169365,-0.000744184,,,,,,,,,,,,
période complète,Tous 5m,mkt_gt_05,36242,0.510899,0.50458,0.516985,0.00237294,-0.00270603,0.00747854,0.515222,0.507894,0.521461,,,,,,,,,
période complète,Tous 15m,market,12081,0.519328,0.507861,0.530158,0,0,0,0.524415,0.508566,0.53724,0.249709,0.24928,0.250165,0,0,0,0.692578,0.499863,0.0195077
période complète,Tous 15m,logit_ind,12081,0.518914,0.507566,0.529926,-0.000413873,-0.0120821,0.0119246,0.528086,0.514218,0.539342,0.249494,0.248653,0.25034,-0.000215298,-0.000897648,0.000477889,0.692146,0.498308,0.0369398
période complète,Tous 15m,hgb_ind,12081,0.51552,0.503521,0.526746,-0.00380763,-0.0153227,0.00753062,0.525688,0.512162,0.538351,0.249662,0.248685,0.250674,-4.7e-05,-0.000777251,0.000740363,0.692476,0.495598,0.0414212
