échantillon,cellule,modèle,n,justesse,justesse_ic_bas,justesse_ic_haut,d_justesse_vs_marché,d_justesse_ic_bas,d_justesse_ic_haut,auc,auc_ic_bas,auc_ic_haut,brier,brier_ic_bas,brier_ic_haut,d_brier_vs_marché,d_brier_ic_bas,d_brier_ic_haut,logloss,p_moyen,p_sd
période complète,Tous,market,1499,0.506338,0.477854,0.532486,0,0,0,0.503731,0.470239,0.53435,0.2502,0.24892,0.251548,0,0,0,0.693556,0.499245,0.0243727
période complète,Tous,timesfm,1499,0.513676,0.487125,0.539948,0.00733823,-0.0270092,0.0422557,0.509982,0.479183,0.538622,0.258967,0.25325,0.264787,0.00876708,0.00312418,0.0144518,0.71295,0.495917,0.108018
période complète,Tous,timesfm_cal,1499,0.518346,0.489632,0.545932,0.012008,-0.0272073,0.0510101,0.508592,0.479269,0.53459,0.249964,0.248159,0.251823,-0.000235932,-0.00247714,0.00189331,0.69309,0.489054,0.0324427
période complète,Tous,logit_ind,1499,0.48966,0.463922,0.516491,-0.0166778,-0.0431951,0.0132288,0.505499,0.477542,0.534076,0.250606,0.24838,0.252771,0.00040643,-0.00153315,0.00229213,0.694364,0.496786,0.0401935
période complète,Tous,hgb_ind,1499,0.490327,0.462407,0.51939,-0.0160107,-0.041968,0.0118132,0.494226,0.461166,0.526401,0.25198,0.249579,0.254431,0.00177992,-0.000215305,0.00371158,0.69714,0.493113,0.0437294
période complète,Tous,logit_ind1s,1499,0.518346,0.491989,0.544425,0.012008,-0.020245,0.047014,0.523383,0.494131,0.55295,0.251997,0.248723,0.25536,0.00179749,-0.00128668,0.00490986,0.697613,0.48027,0.05707
période complète,Tous,hgb_ind1s,1499,0.507672,0.479204,0.533741,0.00133422,-0.0325592,0.0328769,0.502672,0.472733,0.533173,0.252283,0.249387,0.255417,0.00208362,-0.0007532,0.00479978,0.697875,0.482242,0.053473
période complète,Tous,logit_tw,1499,0.534356,0.509817,0.55987,0.0280187,-0.00743631,0.0659132,0.526183,0.499247,0.558233,0.251635,0.248468,0.254586,0.00143553,-0.00177751,0.00450352,0.696784,0.491344,0.0567283
période complète,Tous,hgb_tw,1499,0.512342,0.48545,0.538819,0.006004,-0.0297639,0.0448942,0.510276,0.48166,0.544197,0.251917,0.249135,0.254576,0.0017178,-0.00135132,0.00463585,0.697246,0.491392,0.0497909
période complète,Tous 5m,market,749,0.500668,0.464696,0.53562,0,0,0,0.504783,0.465308,0.547964,0.250078,0.248402,0.251782,0,0,0,0.693315,0.500558,0.0234099
période complète,Tous 5m,timesfm,749,0.508678,0.475165,0.544022,0.00801068,-0.0399467,0.0565314,0.501812,0.470036,0.545686,0.258284,0.251622,0.264878,0.008206,0.00142166,0.0146684,0.710968,0.494848,0.0934635
période complète,Tous 5m,timesfm_cal,749,0.52737,0.491273,0.563615,0.0267023,-0.0252023,0.0762969,0.506065,0.478454,0.530451,0.249494,0.247997,0.25103,-0.000583957,-0.00280876,0.00153456,0.692136,0.491037,0.0193326
période complète,Tous 5m,logit_ind,749,0.479306,0.442945,0.515957,-0.0213618,-0.0599475,0.0182138,0.498636,0.462833,0.536829,0.25149,0.248496,0.254327,0.00141167,-0.00131371,0.0040988,0.696152,0.494376,0.0398028
période complète,Tous 5m,hgb_ind,749,0.510013,0.474733,0.548607,0.00934579,-0.0305892,0.0492027,0.499828,0.451948,0.543384,0.251693,0.248386,0.254904,0.00161418,-0.00134742,0.00454306,0.696575,0.491729,0.0432018
période complète,Tous 5m,logit_ind1s,749,0.531375,0.496021,0.565631,0.0307076,-0.0184977,0.0777339,0.523469,0.480642,0.559565,0.251694,0.246873,0.256735,0.00161594,-0.00308823,0.00615952,0.697156,0.474548,0.0623342
période complète,Tous 5m,hgb_ind1s,749,0.507343,0.472149,0.543017,0.00667557,-0.0385768,0.0525729,0.508199,0.473253,0.551062,0.252695,0.248215,0.257111,0.00261642,-0.0016106,0.00678056,0.698805,0.482546,0.0590989
période complète,Tous 5m,logit_tw,749,0.522029,0.487516,0.558112,0.0213618,-0.0297323,0.072569,0.513838,0.47097,0.557072,0.254137,0.249113,0.259143,0.00405877,-0.00103467,0.00904121,0.702108,0.485308,0.0665522
période complète,Tous 5m,hgb_tw,749,0.504673,0.468496,0.541722,0.00400534,-0.0454575,0.0537671,0.504987,0.463232,0.548739,0.253819,0.249151,0.258463,0.0037408,-0.00105025,0.00825485,0.701308,0.486944,0.0609995
période complète,Tous 15m,market,750,0.512,0.473173,0.548082,0,0,0,0.504587,0.460645,0.545188,0.250321,0.248538,0.252259,0,0,0,0.693796,0.497933,0.0252295
