jour,logit_ind:taker,hgb_ind:taker,logit_ind1s:taker,hgb_ind1s:taker,logit_tw:taker,hgb_tw:taker,stack:taker,gap_m30:taker,rev15:taker,always_up:taker,mkt_gt_05:taker,logit_ind:maker,hgb_ind:maker,logit_ind1s:maker,hgb_ind1s:maker,logit_tw:maker,hgb_tw:maker,stack:maker,gap_m30:maker,rev15:maker,always_up:maker,mkt_gt_05:maker,logit_ind:taker_tick,hgb_ind:taker_tick,logit_ind1s:taker_tick,hgb_ind1s:taker_tick,logit_tw:taker_tick,hgb_tw:taker_tick,stack:taker_tick,gap_m30:taker_tick,rev15:taker_tick,always_up:taker_tick,mkt_gt_05:taker_tick
2026-09-04,9.06404,5.55215,-2.70557,15.2656,-18.0885,8.29681,11.0239,-29.7845,17.0794,-15.0435,26.0335,33.115,7.06,6.89,16.84,8.48,4.58,14.38,1.88,48.74,16.62,57.69,9.54216,5.59225,-2.05535,14.6611,-19.2874,7.79757,5.36468,-31.4416,15.4225,-16.7005,24.377
2026-09-05,43.7734,10.8096,10.6027,40.1644,-26.1596,15.693,29.1578,-52.4564,46.2427,-22.667,28.1138,73.755,61.13,49.605,74.05,9.705,26.48,69.14,10.84,109.53,40.63,91.39,42.1623,9.96493,13.1831,38.1523,-30.3133,14.4863,21.1373,-55.4513,43.2484,-25.6626,25.1206
2026-09-06,40.6172,13.1284,13.428,32.1443,-11.6503,4.52505,31.5481,-66.2344,-39.0792,-33.1269,-1.40242,87.575,68.125,72.605,99.565,49.32,36.325,86.505,28.705,55.845,61.815,93.505,39.7765,12.4236,16.3808,28.4773,-15.9888,2.41624,23.8591,-70.5426,-43.3856,-37.4359,-5.70718
2026-09-07,62.5634,18.3658,33.1899,41.7767,4.29366,23.0711,36.1086,-57.3096,-76.0192,-109.909,-31.4682,146.285,110.79,143.38,153.85,87.71,77.05,115.21,69.29,50.56,16.69,95.09,61.7082,17.2384,35.953,39.2248,1.73586,21.588,30.7106,-63.0906,-81.7977,-115.691,-37.2447
2026-09-08,67.5467,23.7826,50.0839,48.3685,27.7216,34.032,59.4252,-48.1814,-91.4068,-157.09,-99.1624,185.5,133.34,217.185,219.81,134.99,133.39,183.86,110.08,66.83,1.17,59.05,66.2541,22.2829,52.8802,52.022,23.0175,32.6169,58.1432,-55.9889,-99.211,-164.898,-106.964
2026-09-09,62.0057,31.4693,55.0551,55.1377,22.784,33.0725,62.9936,-46.9338,-122.605,-192.231,-144.645,173.31,130.49,248.56,246.67,138.24,148.5,238.86,142.98,67.28,-2.32,45.21,61.1308,31.0746,56.6767,60.3842,17.4758,31.8699,61.8471,-56.4586,-132.126,-201.756,-154.163
2026-09-10,81.7893,40.0538,72.3172,72.5031,23.499,30.9574,74.9397,-32.8513,-144.839,-248.516,-174.594,207.825,166.85,286.24,310.49,153.15,176.48,288.18,188.72,76.7,-26.95,46.91,77.6107,36.9642,72.6893,75.255,18.9469,29.2855,78.6317,-44.3331,-156.316,-259.998,-186.067
2026-09-11,76.3721,32.2985,81.2599,79.2455,25.7544,35.4024,76.0982,-44.8589,-170.202,-271.453,-182.883,217.83,181.3,332.425,356.14,177.515,209.73,334.55,207.88,82.5,-18.72,69.78,71.0244,27.0214,80.9796,78.2278,19.8133,33.4062,82.3235,-57.7582,-183.096,-284.352,-195.773
2026-09-12,95.5286,40.4312,90.4134,90.5734,27.9217,39.9528,94.6881,-63.1051,-208.894,-300.901,-224.61,262.145,204.495,377.125,382.245,198.275,229.145,357.285,221.275,75.445,-16.525,59.685,87.4542,35.7817,90.1233,88.1036,21.8462,37.0297,99.8298,-77.4865,-223.27,-315.282,-238.981
2026-09-13,56.5743,27.1383,83.8374,68.7012,33.8306,38.836,77.0998,-70.2994,-287.79,-337.122,-293.12,229.652,149.342,394.583,361.562,216.343,254.968,357.022,245.718,28.182,-21.108,22.802,46.6439,20.5492,81.8906,67.8245,29.5958,35.5189,79.0345,-86.1631,-303.647,-352.986,-308.972
2026-09-14,56.7567,33.5697,84.3919,78.5772,59.3122,53.6592,91.9757,-77.9607,-288.548,-366.206,-301.803,235.257,160.097,405.968,390.197,267.913,281.233,367.967,269.713,59.077,-18.533,45.767,49.8119,26.0958,82.0807,81.4985,54.8785,51.4804,90.1764,-95.4463,-306.026,-383.692,-319.277
2026-09-15,56.7823,43.4729,87.3652,78.0134,74.7258,55.8565,88.1458,-71.5952,-317.546,-433.764,-345.447,266.012,174.287,450.353,421.287,309.663,316.583,372.847,307.733,61.727,-54.443,33.767,49.7277,35.4212,84.8393,79.5824,69.3354,52.8756,86.4781,-90.4284,-336.372,-452.598,-364.267
2026-09-16,72.6995,44.9818,101.477,104.026,85.7798,80.918,105.349,-48.2124,-321.31,-455.073,-333.936,306.807,253.867,464.253,464.537,344.098,355.733,412.667,362.773,89.617,-44.093,76.927,63.5754,35.6078,98.1993,106.79,80.8857,76.9904,103.48,-68.6527,-341.741,-475.513,-354.363
2026-09-17,76.1585,47.3695,116.549,133.619,104.758,81.1597,126.675,12.4886,-368.404,-501.902,-305.365,314.572,292.507,504.808,520.907,403.063,379.723,469.547,455.123,74.167,-59.273,137.137,66.6154,37.2904,112.077,134.381,99.0625,77.3101,123.615,-9.58935,-390.472,-523.98,-327.427
2026-09-18,89.0095,47.0786,101.308,100.127,97.009,70.0106,110.203,-37.0813,-385.688,-463.538,-364.774,338.637,304.137,479.703,486.317,417.488,400.903,477.227,437.203,88.527,10.747,109.367,78.7596,34.8169,96.0387,102.334,94.5269,65.1331,108.896,-60.5769,-409.173,-487.035,-388.253
2026-09-19,105.67,65.7585,114.946,134.075,120.2,85.0424,130.759,-4.92125,-358.743,-464.649,-371.894,385.487,345.502,551.723,529.752,485.913,469.398,535.592,501.008,147.112,41.282,133.882,102.331,52.4021,110.512,136.032,119.822,79.9934,126.355,-30.3587,-384.169,-490.088,-397.313
