modèle,cellule,n_marchés,n_trades,taux_gain,pnl_total_usd,pnl_par_part,ic_bas,ic_haut
logit_tw,Tous,24173,13551,0.528448,127.064,0.00937675,-0.00256688,0.0212642
logit_tw,Tous 5m,18131,10281,0.530299,102.167,0.00993748,-0.00223139,0.022207
logit_tw,Tous 15m,6042,3270,0.52263,24.8971,0.00761378,-0.0150362,0.0298489
logit_tw,BTC 5m,6044,3399,0.527802,35.0472,0.010311,-0.00597372,0.0268104
logit_tw,ETH 5m,6043,3474,0.534542,47.4066,0.0136461,-0.00356957,0.0306058
logit_tw,SOL 5m,6044,3408,0.528462,19.7135,0.00578447,-0.00961238,0.0224669
logit_tw,BTC 15m,2014,1067,0.528585,23.4201,0.0219494,-0.00854842,0.052446
logit_tw,ETH 15m,2014,1059,0.525024,11.2677,0.0106399,-0.0187874,0.0413151
logit_tw,SOL 15m,2014,1144,0.51486,-9.79066,-0.00855827,-0.0386758,0.0218203
stack,Tous,24173,5919,0.538604,133.181,0.0225007,0.00625949,0.0388041
stack,Tous 5m,18131,4698,0.549383,146.632,0.0312116,0.0134271,0.0482446
stack,Tous 15m,6042,1221,0.497133,-13.4504,-0.0110159,-0.0418715,0.0200356
stack,BTC 5m,6044,1533,0.541422,42.6977,0.0278524,0.00201962,0.0528099
stack,ETH 5m,6043,1447,0.572218,77.0942,0.0532787,0.0271962,0.0799623
stack,SOL 5m,6044,1718,0.537253,26.84,0.0156228,-0.0080228,0.0386102
stack,BTC 15m,2014,510,0.496078,-1.02227,-0.00200445,-0.0449224,0.0422389
stack,ETH 15m,2014,336,0.511905,3.03934,0.00904565,-0.046564,0.063608
stack,SOL 15m,2014,375,0.485333,-15.4675,-0.0412467,-0.0896757,0.0110922
gap_m30,Tous,24173,24173,0.522691,-1.00042,-4.13858e-05,-0.0089539,0.0086459
gap_m30,Tous 5m,18131,18131,0.522806,1.62817,8.98003e-05,-0.0090409,0.00956012
gap_m30,Tous 15m,6042,6042,0.522344,-2.62859,-0.000435053,-0.0163905,0.0156075
gap_m30,BTC 5m,6044,6044,0.523329,4.12884,0.00068313,-0.0119612,0.0133681
gap_m30,ETH 5m,6043,6043,0.525732,18.6515,0.00308647,-0.0097205,0.0155756
gap_m30,SOL 5m,6044,6044,0.519358,-21.1522,-0.0034997,-0.0161781,0.00956904
gap_m30,BTC 15m,2014,2014,0.523833,3.37266,0.00167461,-0.0211026,0.0236696
gap_m30,ETH 15m,2014,2014,0.521847,-3.44416,-0.00171011,-0.0221588,0.0198344
gap_m30,SOL 15m,2014,2014,0.521351,-2.55709,-0.00126966,-0.0238239,0.0196799
rev15,Tous,24173,24173,0.508956,-465.88,-0.0192727,-0.0289704,-0.00906234
rev15,Tous 5m,18131,18131,0.510617,-310.081,-0.0171023,-0.0265694,-0.00705459
rev15,Tous 15m,6042,6042,0.503972,-155.798,-0.0257859,-0.0429444,-0.0086573
rev15,BTC 5m,6044,6044,0.518034,-64.6813,-0.0107017,-0.023286,0.0019808
rev15,ETH 5m,6043,6043,0.508357,-127.339,-0.0210721,-0.0338402,-0.00787458
rev15,SOL 5m,6044,6044,0.50546,-118.061,-0.0195336,-0.0319141,-0.0066733
rev15,BTC 15m,2014,2014,0.508441,-46.4141,-0.0230457,-0.0452283,-0.0013949
rev15,ETH 15m,2014,2014,0.507448,-46.3343,-0.0230061,-0.0451462,-0.00145246
rev15,SOL 15m,2014,2014,0.496028,-63.0497,-0.0313057,-0.0522321,-0.00960766
always_up,Tous,24173,24173,0.498407,-579.931,-0.0239909,-0.0358347,-0.012214
always_up,Tous 5m,18131,18131,0.498428,-434.141,-0.0239447,-0.0344342,-0.0138612
always_up,Tous 15m,6042,6042,0.498345,-145.79,-0.0241295,-0.0422331,-0.00488531
always_up,BTC 5m,6044,6044,0.499007,-143.936,-0.0238146,-0.0358664,-0.0115372
always_up,ETH 5m,6043,6043,0.500745,-126.252,-0.0208923,-0.0331968,-0.00834831
always_up,SOL 5m,6044,6044,0.495533,-163.953,-0.0271266,-0.0395095,-0.0145398
always_up,BTC 15m,2014,2014,0.489573,-64.3685,-0.0319605,-0.0536266,-0.0107236
always_up,ETH 15m,2014,2014,0.502979,-39.1359,-0.0194319,-0.0405298,0.00282796
always_up,SOL 15m,2014,2014,0.502483,-42.2859,-0.020996,-0.0422039,0.000363993
mkt_gt_05,Tous,24173,24173,0.515658,-430.439,-0.0178066,-0.0264509,-0.00924291
mkt_gt_05,Tous 5m,18131,18131,0.515636,-299.866,-0.0165388,-0.0249321,-0.00791921
mkt_gt_05,Tous 15m,6042,6042,0.515723,-130.574,-0.021611,-0.0383741,-0.00561951
mkt_gt_05,BTC 5m,6044,6044,0.521674,-83.8089,-0.0138665,-0.026345,-0.00133339
mkt_gt_05,ETH 5m,6043,6043,0.512659,-127.547,-0.0211065,-0.0338398,-0.00868008
mkt_gt_05,SOL 5m,6044,6044,0.512574,-88.5098,-0.0146442,-0.0276383,-0.00176155
mkt_gt_05,BTC 15m,2014,2014,0.50993,-64.259,-0.0319061,-0.0527805,-0.0106405
mkt_gt_05,ETH 15m,2014,2014,0.515889,-45.8421,-0.0227617,-0.0456163,-0.00182488
mkt_gt_05,SOL 15m,2014,2014,0.521351,-20.4725,-0.0101651,-0.0326738,0.0116166
