modèle,mode,marge,marge_choisie_sur,échantillon,n_marchés,n_trades,part_up,taux_gain,coût_moyen,pnl_total_usd,pnl_total_ic_bas,pnl_total_ic_haut,pnl_par_part,pnl_par_part_ic_bas,pnl_par_part_ic_haut,pnl_par_part_surcoût_1_7c
logit_ind,taker,0.0075,1re moitié,1re moitié (validation),24150,8302,0.375934,0.53722,0.52305,117.643,-9.01906,242.86,0.0141704,-0.00108779,0.0290608,-0.0028296
logit_ind,taker,0.0075,1re moitié,2e moitié (test final),24173,7823,0.390132,0.533683,0.523545,79.3066,-36.4608,198.085,0.0101376,-0.00467637,0.0252496,-0.00686238
hgb_ind,taker,0.0375,1re moitié,1re moitié (validation),24150,2687,0.240045,0.551544,0.523887,74.3166,4.99089,142.454,0.0276579,0.00182367,0.0538957,0.0106579
hgb_ind,taker,0.0375,1re moitié,2e moitié (test final),24173,2327,0.305114,0.554792,0.525979,67.0459,6.73786,126.911,0.0288122,0.00283601,0.0553328,0.0118122
logit_ind1s,taker,0.04,1re moitié,1re moitié (validation),24150,4978,0.196866,0.557252,0.520629,182.311,87.9818,274.536,0.0366233,0.0178047,0.054986,0.0196233
logit_ind1s,taker,0.04,1re moitié,2e moitié (test final),24173,4710,0.210403,0.545435,0.522367,108.651,18.6955,195.424,0.0230682,0.00395316,0.0417855,0.00606818
hgb_ind1s,taker,0.0275,1re moitié,1re moitié (validation),24150,7962,0.262999,0.550867,0.523666,216.573,90.5691,343.515,0.0272009,0.0113202,0.043467,0.0102009
hgb_ind1s,taker,0.0275,1re moitié,2e moitié (test final),24173,7575,0.293861,0.547063,0.525047,166.771,49.824,280.075,0.022016,0.00658781,0.0369013,0.00501603
logit_tw,taker,0.005,1re moitié,1re moitié (validation),24150,13944,0.410284,0.539372,0.519139,282.126,118.544,450.492,0.0202328,0.00847865,0.032136,0.00323279
logit_tw,taker,0.005,1re moitié,2e moitié (test final),24173,13551,0.422183,0.528448,0.519071,127.064,-34.7783,288.753,0.00937675,-0.00256688,0.0212642,-0.00762325
hgb_tw,taker,0.0225,1re moitié,1re moitié (validation),24150,9008,0.355906,0.541852,0.518529,210.089,84.4151,336.634,0.0233225,0.00939113,0.0371659,0.00632251
hgb_tw,taker,0.0225,1re moitié,2e moitié (test final),24173,8712,0.368343,0.528811,0.519132,84.3224,-36.7348,211.625,0.00967888,-0.00421705,0.0243813,-0.00732112
stack,taker,0.0125,1re moitié,1re moitié (validation),24150,5959,0.534821,0.554455,0.515441,232.486,135.66,322.479,0.0390142,0.0229025,0.0542621,0.0220142
stack,taker,0.0125,1re moitié,2e moitié (test final),24173,5919,0.576618,0.538604,0.516104,133.181,37.3446,229.156,0.0225007,0.00625949,0.0388041,0.00550067
gap_m30,taker,,— (toujours en position),1re moitié (validation),24150,24150,0.507122,0.525631,0.522695,70.9093,-148.053,280.712,0.0029362,-0.00613057,0.0116237,-0.0140638
gap_m30,taker,,— (toujours en position),2e moitié (test final),24173,24173,0.506102,0.522691,0.522732,-1.00042,-216.443,208.997,-4.13858e-05,-0.0089539,0.0086459,-0.0170414
rev15,taker,,— (toujours en position),1re moitié (validation),24150,24150,0.502236,0.509234,0.527633,-444.325,-693.868,-209.964,-0.0183986,-0.0287316,-0.00869417,-0.0353986
rev15,taker,,— (toujours en position),2e moitié (test final),24173,24173,0.504447,0.508956,0.528229,-465.88,-700.301,-219.064,-0.0192727,-0.0289704,-0.00906234,-0.0362727
always_up,taker,,— (toujours en position),1re moitié (validation),24150,24150,1,0.50058,0.522513,-529.692,-817.706,-227.88,-0.0219334,-0.0338595,-0.00943601,-0.0389334
always_up,taker,,— (toujours en position),2e moitié (test final),24173,24173,1,0.498407,0.522398,-579.931,-866.231,-295.25,-0.0239909,-0.0358347,-0.012214,-0.0409909
mkt_gt_05,taker,,— (toujours en position),1re moitié (validation),24150,24150,0.439669,0.510104,0.533238,-558.687,-774.986,-344.046,-0.023134,-0.0320905,-0.0142462,-0.040134
mkt_gt_05,taker,,— (toujours en position),2e moitié (test final),24173,24173,0.425847,0.515658,0.533465,-430.439,-639.397,-223.429,-0.0178066,-0.0264509,-0.00924291,-0.0348066
logit_ind,maker,0.0125,1re moitié,1re moitié (validation),24150,18557,0.455246,0.518079,0.494841,431.235,244.556,614.866,0.0232384,0.0131846,0.0331336,0.0062384
logit_ind,maker,0.0125,1re moitié,2e moitié (test final),24173,18346,0.472365,0.518042,0.495039,422.007,245.243,615.784,0.0230027,0.0133303,0.0336945,0.00600267
hgb_ind,maker,0,1re moitié,1re moitié (validation),24150,24150,0.394948,0.514907,0.495369,471.835,251.006,692.24,0.0195377,0.0103936,0.0286642,0.00253768
hgb_ind,maker,0,1re moitié,2e moitié (test final),24173,24173,0.427419,0.511852,0.495686,390.787,182.618,604.06,0.0161663,0.00755462,0.0249891,-0.00083374
logit_ind1s,maker,0.01,1re moitié,1re moitié (validation),24150,21386,0.33737,0.523052,0.493135,639.815,436.938,847.933,0.0299175,0.0203809,0.0396441,0.0129175
