modèle,mode,échantillon,margin,n_trades,pnl_total,pnl_per_trade,win_rate,avg_cost,share_up
logit_ind,taker,1re moitié (validation),0,10915,68.5094,0.00627663,0.529272,0.522995,0.388639
logit_ind,taker,1re moitié (validation),0.0025,9716,87.7123,0.00902762,0.5317,0.522673,0.375051
logit_ind,taker,1re moitié (validation),0.005,9295,84.6804,0.00911031,0.532222,0.523111,0.382141
logit_ind,taker,1re moitié (validation),0.0075,8302,117.643,0.0141704,0.53722,0.52305,0.375934
logit_ind,taker,1re moitié (validation),0.01,7607,97.6775,0.0128405,0.535822,0.522982,0.366505
logit_ind,taker,1re moitié (validation),0.0125,6322,106.377,0.0168265,0.539544,0.522718,0.381683
logit_ind,taker,1re moitié (validation),0.015,5930,100.088,0.0168782,0.539966,0.523088,0.384486
logit_ind,taker,1re moitié (validation),0.0175,5178,102.24,0.0197451,0.543067,0.523322,0.412321
logit_ind,taker,1re moitié (validation),0.02,4696,90.2695,0.0192226,0.542589,0.523367,0.401405
logit_ind,taker,1re moitié (validation),0.0225,3993,77.7654,0.0194754,0.54295,0.523475,0.423241
logit_ind,taker,1re moitié (validation),0.025,3839,65.2434,0.0169949,0.540505,0.52351,0.411305
logit_ind,taker,1re moitié (validation),0.0275,3642,63.3463,0.0173933,0.540637,0.523244,0.416529
logit_ind,taker,1re moitié (validation),0.03,3098,65.8391,0.0212521,0.544222,0.52297,0.336023
logit_ind,taker,1re moitié (validation),0.0325,2793,65.6488,0.0235048,0.546366,0.522861,0.325098
logit_ind,taker,1re moitié (validation),0.035,2562,46.0704,0.0179822,0.541374,0.523392,0.276737
logit_ind,taker,1re moitié (validation),0.0375,2354,44.7382,0.0190052,0.541631,0.522626,0.284197
logit_ind,taker,1re moitié (validation),0.04,2178,46.8081,0.0214913,0.544536,0.523045,0.242424
logit_ind,taker,1re moitié (validation),0.0425,2043,42.1265,0.0206199,0.543808,0.523188,0.235928
logit_ind,taker,1re moitié (validation),0.045,1984,32.0559,0.0161572,0.539819,0.523661,0.22379
logit_ind,taker,1re moitié (validation),0.0475,1733,28.728,0.0165771,0.538373,0.521796,0.25101
logit_ind,taker,1re moitié (validation),0.05,1654,29.1271,0.0176101,0.538694,0.521084,0.229141
logit_ind,taker,1re moitié (validation),0.0525,1512,38.9215,0.0257417,0.546296,0.520555,0.236111
