durée,instant,décalage_s,n,brier_nowcast,brier_marché,delta_brier,delta_brier_ic_bas,delta_brier_ic_haut,corr_marché_nowcast
5m,S+2 min,0,6047,0.19624470881613873,0.20110889283942449,-0.004864184023285759,-0.0076400519229692845,-0.002088316123602234,0.912849481582918
5m,S+2 min,10,6047,0.20181002954650845,0.20110889283942449,0.0007011367070839099,-0.0010291907211465805,0.0024314641353144002,0.9570872625974811
5m,S+2 min,20,6047,0.2096940314447615,0.20110889283942449,0.008585138605337,0.005588648183102391,0.01158162902757161,0.9091555322617914
5m,S+2 min,30,6047,0.21463288934237423,0.20110889283942449,0.013523996502949734,0.00959214054320985,0.017455852462689617,0.838255857549069
5m,S+2 min,45,6047,0.22171607728953294,0.20110889283942449,0.020607184450108427,0.015766635159021096,0.025447733741195758,0.7252094490598187
5m,S+2 min,60,6047,0.23166900206623633,0.20110889283942449,0.03056010922681183,0.0249539378640824,0.036166280589541265,0.6033914975349958
5m,S+5 min,0,6047,0.034543413302870814,0.053643118612535144,-0.019099705309664327,-0.02303303598156356,-0.015166374637765094,0.9488110846243666
5m,S+5 min,10,6047,0.05050806637340777,0.053643118612535144,-0.0031350522391273704,-0.0056698804715520626,-0.0006002240067026782,0.9763675075595569
5m,S+5 min,20,6047,0.06541254230559529,0.053643118612535144,0.011769423693060149,0.008420031262762733,0.015118816123357564,0.9540109541443883
5m,S+5 min,30,6047,0.07819675938170872,0.053643118612535144,0.02455364076917358,0.020422975496859903,0.028684306041487258,0.9249282252255341
5m,S+5 min,45,6047,0.09385924744184415,0.053643118612535144,0.04021612882930902,0.0352160378522242,0.04521621980639384,0.8838219558155741
5m,S+5 min,60,6047,0.10771342987487108,0.053643118612535144,0.05407031126233592,0.048462834307725265,0.059677788216946574,0.8438995027463755
15m,S+2 min,0,2016,0.23477777540253938,0.23503562748015872,-0.0002578520776193574,-0.003747079602440863,0.0032313754472021484,0.8957528700076783
15m,S+2 min,10,2016,0.23525083347579337,0.23503562748015872,0.0002152059956346156,-0.0020590234035029456,0.0024894353947721767,0.9462187960912742
15m,S+2 min,20,2016,0.23748287288284792,0.23503562748015872,0.002447245402689196,-0.0007170947992678773,0.005611585604646269,0.8998150282382658
15m,S+2 min,30,2016,0.23789033394489184,0.23503562748015872,0.0028547064647331108,-0.0014580791063462202,0.007167492035812442,0.8270049920558872
15m,S+2 min,45,2016,0.23875116258248186,0.23503562748015872,0.0037155351023231377,-0.00169091079475001,0.009121980999396286,0.6939374686421289
15m,S+2 min,60,2016,0.2430664316414099,0.23503562748015872,0.00803080416125116,0.001914173569892129,0.014147434752610193,0.5730779624571594
15m,S+5 min,0,2016,0.19596270594565254,0.19894335317460315,-0.002980647228950643,-0.0062104625986422425,0.00024916814074095635,0.9598328920333594
15m,S+5 min,10,2016,0.20029353564595934,0.19894335317460315,0.0013501824713561662,-0.0010826070060115836,0.003782971948723916,0.9756727997841652
15m,S+5 min,20,2016,0.20244106152496139,0.19894335317460315,0.0034977083503582316,0.00011202493500761827,0.006883391765708844,0.9618407944137543
15m,S+5 min,30,2016,0.20473447468378378,0.19894335317460315,0.005791121509180627,0.0017307379538974484,0.009851505064463806,0.9433809412286911
15m,S+5 min,45,2016,0.20683863701473928,0.19894335317460315,0.0078952838401361,0.0028883703352171296,0.012902197345055072,0.9194946297704604
15m,S+5 min,60,2016,0.20888336491457452,0.19894335317460315,0.009940011739971345,0.004385651559119281,0.015494371920823409,0.8899040289845732
15m,S+10 min,0,2016,0.12866633365328944,0.1315672116815476,-0.0029008780282581714,-0.006443164181658927,0.0006414081251425847,0.9735551745475157
15m,S+10 min,10,2016,0.1308449361889452,0.1315672116815476,-0.0007222754926024369,-0.003479458779480719,0.0020349077942758455,0.9805528736817957
15m,S+10 min,20,2016,0.13384537704540303,0.1315672116815476,0.0022781653638553998,-0.0010480167017651982,0.005604347429475997,0.973537205704443
15m,S+10 min,30,2016,0.13667586740599158,0.1315672116815476,0.005108655724443976,0.0010040995679630052,0.009213211880924947,0.964683016937582
15m,S+10 min,45,2016,0.13935678066885496,0.1315672116815476,0.007789568987307343,0.0026226232648757872,0.012956514709738898,0.9477004995975792
15m,S+10 min,60,2016,0.14281839978414262,0.1315672116815476,0.011251188102595015,0.00529334865882877,0.01720902754636126,0.933310215228041
