cellule,instant,n,âge_moyen_point_s,acc_marché,acc_nowcast,brier_marché,brier_nowcast,delta_brier,delta_brier_ic_bas,delta_brier_ic_haut,auc_marché,auc_nowcast,corr_marché_nowcast
BTC 5m,S+1 min,2015,44.853598014888334,0.5925558312655087,0.6168734491315137,0.23832296526054592,0.23276383198040404,-0.005559133280141866,-0.009183026352749684,-0.001935240207534048,0.6254618472312813,0.6542584531590843,0.800889501726105
BTC 5m,S+2 min,2016,45.57093253968254,0.6785714285714286,0.6959325396825397,0.20496737351190478,0.20042382174756446,-0.004543551764340296,-0.008135291312190165,-0.0009518122164904265,0.7441193782456859,0.7585367198050326,0.9177984300324322
BTC 5m,S+5 min,2016,45.479166666666664,0.9255952380952381,0.9523809523809523,0.05346025458829366,0.037015508919368854,-0.016444745668924794,-0.021550341617708746,-0.011339149720140843,0.9813428428566368,0.9908362894748239,0.9509606633742542
BTC 15m,S+1 min,672,44.055059523809526,0.5520833333333334,0.5669642857142857,0.24639270833333332,0.2445330091453166,-0.0018596991880167008,-0.006030684034633663,0.0023112856586002617,0.5658878297495012,0.5810152959432497,0.7017065313330463
BTC 15m,S+2 min,672,45.88690476190476,0.6056547619047619,0.5863095238095238,0.23305625,0.23604045467480012,0.0029842046748000833,-0.0014753869373132513,0.007443796286913417,0.6446375526490802,0.6339968964752826,0.8962584444579563
BTC 15m,S+5 min,672,45.513392857142854,0.6860119047619048,0.6964285714285714,0.2010331101190476,0.19822466416127374,-0.0028084459577738855,-0.00709300561574319,0.0014761137001954197,0.7546397694524496,0.7641232542673464,0.957059458816548
BTC 15m,S+10 min,672,45.41815476190476,0.7991071428571429,0.8020833333333334,0.1362232373511905,0.1362415612168668,1.8323865676322937e-05,-0.004694109040593262,0.004730756771945908,0.8893770782531589,0.8881401019729551,0.9713927672957766
ETH 5m,S+1 min,2014,44.91906653426018,0.5913604766633564,0.6171797418073486,0.23789895729890767,0.22935882276827116,-0.008540134530636486,-0.012323839815013147,-0.004756429246259825,0.6264975115535016,0.6662529130623691,0.7685094394636116
ETH 5m,S+2 min,2015,45.61290322580645,0.6883374689826303,0.6952853598014889,0.1976545905707196,0.19508345531523727,-0.002571135255482326,-0.006266735023209305,0.0011244645122446533,0.7633631047504055,0.7699709191061868,0.9124994498184381
ETH 5m,S+5 min,2015,45.494292803970225,0.9285359801488834,0.9602977667493796,0.050610163275434245,0.031950829451979586,-0.018659333823454655,-0.024091203100120428,-0.013227464546788883,0.9821248189842601,0.9930454443221233,0.9488941790868579
ETH 15m,S+1 min,672,44.154761904761905,0.5610119047619048,0.5833333333333334,0.24383199404761904,0.24077849470451618,-0.0030534993431028667,-0.007395495613791253,0.0012884969275855198,0.5877530184659091,0.6097833806818181,0.6938608052893447
ETH 15m,S+2 min,672,45.879464285714285,0.5892857142857143,0.59375,0.2337307663690476,0.2336686223478485,-6.214402119912001e-05,-0.004610602576996469,0.004486314534598229,0.632022372159091,0.6351740056818183,0.8942502052745352
ETH 15m,S+5 min,672,45.654761904761905,0.6889880952380952,0.6875,0.20049296874999997,0.1994463187791546,-0.0010466499708453767,-0.005627106119729145,0.0035338061780383918,0.7555308948863636,0.7593306107954546,0.9623439160104392
ETH 15m,S+10 min,672,45.486607142857146,0.8258928571428571,0.8363095238095238,0.12654489732142857,0.12373734520780735,-0.0028075521136212167,-0.007765178840203042,0.002150074612960608,0.9024857954545455,0.9077769886363637,0.9746727469871674
SOL 5m,S+1 min,2015,44.82828784119107,0.5761786600496278,0.6148883374689826,0.2403800124069479,0.23209166652189764,-0.008288345885050239,-0.011844639240636046,-0.00473205252946443,0.6148486359104504,0.6562565268621015,0.7834098953681797
SOL 5m,S+2 min,2016,45.595238095238095,0.6825396825396826,0.7023809523809523,0.2007030009920635,0.19322627336701287,-0.007476727625050627,-0.01140478580837802,-0.003548669441723235,0.7548378619907721,0.7747114309560179,0.9089294832430759
SOL 5m,S+5 min,2016,45.46875,0.9161706349206349,0.9588293650793651,0.05685743353174604,0.03466261553336971,-0.02219481799837633,-0.028013208826917227,-0.016376427169835436,0.9777239854810008,0.9925475961765586,0.9465995692652084
SOL 15m,S+1 min,672,44.123511904761905,0.5223214285714286,0.5505952380952381,0.24844226190476187,0.2449331985084795,-0.0035090633962824047,-0.007682214991344775,0.0006640881987799653,0.5367764559659092,0.5762872869318182,0.7209113438884466
SOL 15m,S+2 min,672,45.89136904761905,0.5684523809523809,0.59375,0.2383198660714286,0.23462424918496955,-0.0036956168864590347,-0.008035142322039461,0.0006439085491213915,0.6148925781250001,0.6322975852272728,0.8985361899255492
SOL 15m,S+5 min,672,45.57440476190476,0.6919642857142857,0.7053571428571429,0.1953039806547619,0.19021713489652922,-0.005086845758232667,-0.00956087134274696,-0.0006128201737183748,0.7683860085227273,0.7816583806818183,0.9617778267318112
SOL 15m,S+10 min,672,45.473214285714285,0.8080357142857143,0.8095238095238095,0.1319335003720238,0.1260200945351942,-0.00591340583682962,-0.010851509230192591,-0.0009753024434666496,0.89423828125,0.9047230113636364,0.9753545355228151
Tous 5m,S+1 min,6044,44.86697551290536,0.586697551290536,0.6163136995367307,0.23886747187293186,0.23140511226628654,-0.0074623596066452635,-0.01035300606302488,-0.004571713150265647,0.6223041519072748,0.6588296760710554,0.7839664264698992
Tous 5m,S+2 min,6047,45.59302133289234,0.6831486687613693,0.697866710765669,0.20110889283942449,0.19624470881613873,-0.004864184023285759,-0.0076400519229692845,-0.002088316123602234,0.754110788026964,0.7676743040432643,0.9128494815829178
Tous 5m,S+5 min,6047,45.48073424838763,0.9234331073259467,0.9571688440549032,0.053643118612535144,0.034543413302870814,-0.019099705309664327,-0.02303303598156356,-0.015166374637765094,0.9804192514675015,0.9921465166546631,0.9488110846243666
Tous 15m,S+1 min,2016,44.111111111111114,0.5451388888888888,0.5669642857142857,0.24622232142857142,0.2434149007861041,-0.0028074206424673243,-0.005926487686988332,0.0003116464020536838,0.5633662487736822,0.588750905873015,0.7046268673989318
Tous 15m,S+2 min,2016,45.885912698412696,0.5877976190476191,0.5912698412698413,0.23503562748015872,0.23477777540253938,-0.00025785207761935716,-0.003747079602440863,0.0032313754472021484,0.6302914076403918,0.6337709460025734,0.8957528700076786
Tous 15m,S+5 min,2016,45.58085317460318,0.6889880952380952,0.6964285714285714,0.19894335317460315,0.19596270594565254,-0.002980647228950643,-0.0062104625986422425,0.00024916814074095635,0.7594937956942069,0.7688547300128671,0.9598328920333591
Tous 15m,S+10 min,2016,45.4593253968254,0.8110119047619048,0.8159722222222222,0.1315672116815476,0.12866633365328944,-0.0029008780282581714,-0.006443164181658927,0.0006414081251425847,0.8953486193755762,0.9003603772375679,0.9735551745475156
Tous,S+1 min,8060,44.67791563275434,0.576302729528536,0.603970223325062,0.24070709677419355,0.23440904944444438,-0.006298047329749143,-0.008788679745887979,-0.0038074149136103075,0.6103502214007932,0.6438660968002773,0.7765286222772124
Tous,S+2 min,8063,45.666253255612055,0.6593079498945802,0.6712141882673943,0.20959162842614412,0.20587917021241603,-0.0037124582137280926,-0.0061752050037445355,-0.0012497114237116492,0.7285068870523415,0.7402650168521169,0.9110873249301715
Tous,S+5 min,8063,45.50576708421183,0.8648145851420067,0.8919756914299889,0.08997268240729257,0.0749032414025667,-0.015069441004725868,-0.01817958916668657,-0.011959292842765167,0.9505148283238684,0.9664954060667621,0.9496948214808727
Tous,S+10 min,2016,45.4593253968254,0.8110119047619048,0.8159722222222222,0.1315672116815476,0.12866633365328944,-0.0029008780282581714,-0.006443164181658927,0.0006414081251425847,0.8953486193755762,0.9003603772375679,0.9735551745475156
