stratégie,échantillon,cellule,n_trades,taux_gain,ask_moyen,frais_moyens_par_part,seuil_rentabilité,pnl_moyen_par_part,ic95_bas,ic95_haut,t_stat_iid,pnl_total_usd_100_parts,capital_engagé_usd,roi,section
mom5_m60:momentum,in-sample,Tous,8063,0.4969614287486047,0.5023589234776137,0.017479005208979288,0.5198379286865932,-0.022876499937988348,-0.038734389134550226,-0.00701861074142647,-4.111340137551082,-18445.321900000006,419145.3219,-0.0440069850150939,toutes_strategies
mom5_m60:retournement,in-sample,Tous,8063,0.5029145479350118,0.507627433957584,0.017475317115217666,0.5251027510728018,-0.022188203137789908,-0.03808815865846981,-0.006288247617110006,-3.9876566479809195,-17890.348190000004,423390.34818999993,-0.04225497408356499,toutes_strategies
mom15_m60:momentum,in-sample,Tous,8063,0.4826987473645045,0.49856753069577076,0.0174816595063872,0.516049190202158,-0.03335044283765348,-0.050607152521975604,-0.016093733153331357,-5.995124106217531,-26890.462060000005,416090.46205999993,-0.06462648032562308,toutes_strategies
mom15_m60:retournement,in-sample,Tous,8063,0.5168051593699615,0.5114225474389186,0.017472660300136427,0.528895207739055,-0.012090048369093392,-0.029345190154380245,0.005165093416193459,-2.1732888965627453,-9748.206000000002,426448.20599999995,-0.022859062045157256,toutes_strategies
mom5_m30:momentum,in-sample,Tous,8063,0.5065112241101327,0.5022832692546199,0.017479058080119066,0.5197623273347388,-0.01325110322460623,-0.02909444786687482,0.0025922414176623616,-2.381881047366286,-10684.364530000003,419084.36452999996,-0.025494543424406775,toutes_strategies
mom5_m30:retournement,in-sample,Tous,8063,0.4959692422175369,0.5077502170408037,0.017475231266278063,0.5252254483070816,-0.029256206089544844,-0.04511924466835238,-0.013393167510737304,-5.258399420052759,-23589.278970000003,423489.2789699999,-0.055702186906297274,toutes_strategies
mom15_m30:momentum,in-sample,Tous,8063,0.4958452189011534,0.49892099714746374,0.017481411993054696,0.5164024091405185,-0.020557190239365006,-0.038025813058575,-0.003088567420155012,-3.694542622398237,-16575.262490000005,416375.26248999994,-0.03980847082719784,toutes_strategies
mom15_m30:retournement,in-sample,Tous,8063,0.5040307577824631,0.5111087684484683,0.01747287994542974,0.5285816483938981,-0.024550890611434954,-0.042063492188824686,-0.007038289034045218,-4.412314937295803,-19795.383100000003,426195.3831,-0.046446732848242356,toutes_strategies
gap_m30:momentum,in-sample,Tous,8063,0.5215180453925338,0.5057149944189507,0.017476656083343672,0.5231916505022944,-0.0016736051097606386,-0.017123361490331366,0.013776151270810088,-0.30103993960389874,-1349.4278000000013,421849.42779999995,-0.003198837573485507,toutes_strategies
gap_m30:retournement,in-sample,Tous,8063,0.4783579312910827,0.5042850055810492,0.017477656753069577,0.5217626623341188,-0.0434047310430361,-0.05884397669317267,-0.027965485392899524,-7.807524799011327,-34997.23464,420697.2346399999,-0.08318864912422808,toutes_strategies
always_up,in-sample,Tous,8063,0.5115961800818554,0.5037963537144983,0.017477998648145854,0.5212743523626442,-0.009678172280788794,-0.030889112671222314,0.011532768109644726,-1.7399248463014627,-7803.510310000007,420303.5103099999,-0.018566369584314044,toutes_strategies
always_down,in-sample,Tous,8063,0.48840381991814463,0.5062036462855016,0.017476314188267394,0.5236799604737692,-0.03527614055562446,-0.05648706718739013,-0.014065213923858792,-6.341883951334081,-28443.152130000002,422243.15212999994,-0.06736202111631391,toutes_strategies
gap_m30:momentum,in-sample,BTC 5m,2016,0.527281746031746,0.5052455357142858,0.017468573313492067,0.5227141090277778,0.004567637003968267,-0.016855810764103,0.02599108477203953,0.4111590981149443,920.8356200000012,105379.16437999999,0.008738308235956817,meilleure_baseline
gap_m30:momentum,in-sample,BTC 15m,672,0.5014880952380952,0.5058035714285714,0.017455193303571433,0.523258764732143,-0.021770669494047608,-0.05955696137085324,0.016015622382758027,-1.1284185183927402,-1462.9889899999994,35162.98899,-0.04160593373947985,meilleure_baseline
gap_m30:momentum,in-sample,ETH 5m,2015,0.539454094292804,0.505940446650124,0.017479513002481392,0.5234199596526055,0.016034134640198504,-0.005623934027064004,0.03769220330746101,1.4441034617072794,3230.878129999999,105469.12186999997,0.030633403148860407,meilleure_baseline
gap_m30:momentum,in-sample,ETH 15m,672,0.5,0.5071875,0.017466159226190478,0.5246536592261903,-0.024653659226190467,-0.06234553738049467,0.013038218928113732,-1.281050661556217,-1656.7258999999995,35256.725900000005,-0.04699035028661011,meilleure_baseline
gap_m30:momentum,in-sample,SOL 5m,2016,0.5143849206349206,0.505610119047619,0.017488303918650798,0.5230984229662701,-0.00871350233134924,-0.03012277387969546,0.01269576921699698,-0.7823889866702131,-1756.6420700000028,105456.64206999997,-0.016657481553736364,meilleure_baseline
gap_m30:momentum,in-sample,SOL 15m,672,0.5133928571428571,0.5052008928571429,0.017489354017857145,0.522690246875,-0.009297389732142869,-0.047019827678168785,0.028425048213883045,-0.4827185390239517,-624.7845900000009,35124.784589999996,-0.017787570722294956,meilleure_baseline
gap_m30:momentum,in-sample,Tous 5m,6047,0.5270382007607078,0.5055986439556804,0.01747879662642633,0.5230774405821068,0.00396076017860095,-0.012089945030781937,0.02001146538798384,0.6170986534124588,2395.071679999997,316304.92831999995,0.007572034026535768,meilleure_baseline
gap_m30:momentum,in-sample,Tous 15m,2016,0.5049603174603174,0.506063988095238,0.01747023551587302,0.523534223611111,-0.01857390615079365,-0.04701953955070637,0.00987172724911907,-1.6704971883954032,-3744.4994800000004,105544.49947999998,-0.035477921620250416,meilleure_baseline
gap_m30:momentum,in-sample,Tous,8063,0.5215180453925338,0.5057149944189507,0.017476656083343672,0.5231916505022944,-0.0016736051097606386,-0.017123361490331366,0.013776151270810088,-0.30103993960389874,-1349.4278000000013,421849.42779999995,-0.003198837573485507,meilleure_baseline
mom15_m60:retournement,2e moitié (choix sur la 1re),BTC 5m,1008,0.49603174603174605,0.5124702380952381,0.017473157043650794,0.5299433951388888,-0.03391164910714284,-0.06447568594852743,-0.003347612265758245,-2.156211482867416,-3418.2942299999995,53418.294229999985,-0.06399107794947649,meilleure_baseline
mom15_m60:retournement,2e moitié (choix sur la 1re),BTC 15m,336,0.49702380952380953,0.5126339285714285,0.01745518392857143,0.5300891125,-0.03306530297619047,-0.08653483088535595,0.020404224932975015,-1.2102497260303617,-1110.9941799999997,17810.99418,-0.06237687625812247,meilleure_baseline
mom15_m60:retournement,2e moitié (choix sur la 1re),ETH 5m,1008,0.5188492063492064,0.5116220238095238,0.017478306250000002,0.5291003300595237,-0.010251123710317465,-0.04095214759880396,0.02044990017816903,-0.6523042981159561,-1033.313270000001,53333.31326999999,-0.01937463110099406,meilleure_baseline
