cellule,proxy,résolution,n,accord,ic95_bas,ic95_haut,désaccords,égalités_binance,mouvement_cl_médian_désaccords_pb,mouvement_cl_médian_tous_pb,description
BTC 5m,a_close_vs_open_1m,1m,2016,0.8819444444444444,0.8671270993783479,0.8953089253079444,238,0,1.727777109242056,5.626731721559966,(a) close de la bougie 1m finissant à la fin ≥ open de la bougie 1m commençant au début
BTC 5m,a2_close_vs_close_1m,1m,2016,0.8824404761904762,0.8676477508708181,0.8957784504709106,237,4,1.7284403845424057,5.626731721559966,(a') close 1m à la fin ≥ close 1m de la bougie précédant l'ouverture (= label r_h actuel)
BTC 5m,b_vwap_last_vs_first_1m,1m,2016,0.8601190476190477,0.8442915171988473,0.8745767346482284,282,0,1.5599235923806707,5.626731721559966,(b) VWAP 1m de la dernière minute ≥ VWAP 1m de la PREMIÈRE minute de la fenêtre
BTC 5m,b_ohlc4_last_vs_first_1m,1m,2016,0.875,0.8598461238680515,0.8887274276421262,252,1,1.4644747322183806,5.626731721559966,(b) (O+H+L+C)/4 dernière minute ≥ idem première minute de la fenêtre
BTC 5m,b_vwap_last_vs_prev_1m,1m,2016,0.9588293650793651,0.9492480037531378,0.9666654025258498,83,0,0.4842364650526054,5.626731721559966,(b*) VWAP 1m de la dernière minute ≥ VWAP 1m de la minute PRÉCÉDANT l'ouverture
BTC 5m,b_ohlc4_last_vs_prev_1m,1m,2016,0.9503968253968254,0.9400325214417279,0.9590478816948348,100,0,0.5375626003296554,5.626731721559966,(b*) (O+H+L+C)/4 dernière minute ≥ idem minute précédant l'ouverture
BTC 5m,b_twap60_last_vs_first_1s,1s,2016,0.8675595238095238,0.8520611060930169,0.8816597955856099,267,0,1.4674540382857517,5.626731721559966,"(b) moyenne des closes 1s sur (E−60, E] ≥ moyenne sur (S, S+60] (première minute)"
BTC 5m,b_twap60_1s,1s,2016,0.9796626984126984,0.972527409946483,0.9849734158608475,41,0,0.18751792305432952,5.626731721559966,"(b*) TWAP60 exact : moyenne des closes 1s sur (E−60, E] ≥ moyenne sur (S−60, S]"
BTC 5m,b_vwap60_1s,1s,2016,0.9588293650793651,0.9492480037531378,0.9666654025258498,83,0,0.4842364650526054,5.626731721559966,"(b*) VWAP 60 s (1s) sur (E−60, E] ≥ VWAP 60 s sur (S−60, S]"
BTC 5m,b_twap30_1s,1s,2016,0.9379960317460317,0.9266126719487116,0.9477133148019325,125,0,0.7958650633756833,5.626731721559966,(contrôle) TWAP 30 s (1s) fin ≥ début — pour vérifier la fenêtre de 60 s
