hour,n_wallets,n_winners,pnl_positive_total,pnl_negative_total,fees_total,top10_pnl,top10_share_of_positive,top1pct_n,top1pct_share_of_positive,top10_volume_share
2026-09-23 21:00:00+00:00,2843,1592,40037.61507230598,-49032.83159169621,8995.216519999998,7879.040246273349,0.19679094851289683,29,0.3784571912693742,0.0954611238398846
2026-09-23 22:00:00+00:00,2949,1650,30899.57742984346,-37273.29062117753,6373.71728,7675.297001065872,0.24839488560943584,30,0.4167198082377142,0.08776193693788258
2026-09-23 23:00:00+00:00,2781,1489,36598.25413413016,-45426.04712088902,8827.794160000001,13024.12884326942,0.3558674901687074,28,0.512387623944303,0.1291464886600224
2026-09-24 00:00:00+00:00,2940,1535,140277.66048583502,-150286.69645572687,10009.035969999999,91289.73802178552,0.6507788745949594,30,0.7785599820048897,0.08806175102375723
2026-09-24 01:00:00+00:00,3330,1524,111033.10467494,-124555.71900355865,13522.61801,34548.515409815234,0.3111550875836473,34,0.48424581950874085,0.07443703765091353
2026-09-24 02:00:00+00:00,3023,1699,31443.820189652917,-37690.76695915788,6246.943569999999,7102.959524966428,0.22589365675433318,31,0.38992724772973797,0.08873991485300987
2026-09-24 03:00:00+00:00,2922,1710,34513.56874377182,-41287.44159249501,6773.87306,8004.443857953015,0.23192165137653187,30,0.39678081146913924,0.08262299854343444
2026-09-24 04:00:00+00:00,2822,1558,27850.22789311697,-33857.99637315266,6007.76848,5415.1260991888785,0.19443740711820878,29,0.4014635609832141,0.043373841644737496
2026-09-24 05:00:00+00:00,2946,1570,25391.449786892448,-32137.725927092546,6746.27434,5944.537921880104,0.23411573469699187,30,0.39062363772620884,0.08879072978493706
2026-09-24 06:00:00+00:00,3041,1681,35557.863043793644,-44128.79081095158,8570.93027,6357.273251013555,0.17878670726595222,31,0.37668452863457375,0.03586844556143669
2026-09-24 07:00:00+00:00,3118,1687,25546.039134067774,-31652.855536947645,6106.81646,4604.095655065497,0.18022737814276468,32,0.3663948763639461,0.08093500026046482
2026-09-24 08:00:00+00:00,3712,1657,76596.90505970668,-85824.83072017676,9227.92566,26643.10933563962,0.3478353246109817,38,0.5713446034224251,0.07062464052681411
2026-09-24 09:00:00+00:00,3537,2000,35954.05206277034,-44027.06065299906,8073.008590000001,7296.416237777899,0.20293724404246455,36,0.4095533887808847,0.03530344796192407
2026-09-24 10:00:00+00:00,3291,1654,39973.07493390934,-47784.316354048715,7811.241419999999,12128.074660882345,0.3034060972525795,33,0.4960518727337783,0.03986351853123463
2026-09-24 11:00:00+00:00,3169,1662,33927.86313908178,-41540.3734329722,7612.51231,8765.657530187456,0.2583616154738087,32,0.418928976064804,0.060657943194728045
2026-09-24 12:00:00+00:00,3286,1715,42227.16405803771,-49387.25327931595,7160.09208,7438.470154167522,0.1761536754858547,33,0.392026512374156,0.10356952042929814
2026-09-24 13:00:00+00:00,3683,1925,42644.792979687074,-50691.63292343146,8046.8408,9164.260907878539,0.21489753537421877,37,0.41409099294203844,0.05632426133818155
2026-09-24 14:00:00+00:00,3571,1996,42874.44129438987,-51422.125774202446,8547.68218,9019.70343124957,0.2103748330926892,36,0.401158587586384,0.08708060628943051
2026-09-24 15:00:00+00:00,3481,1812,35577.217101018374,-43314.398687765875,7737.18423,7588.027903849414,0.21328334597683335,35,0.4248747740494679,0.06354806323801826
2026-09-24 16:00:00+00:00,3595,1870,50640.635063543334,-57689.243557350375,7048.61008,12117.138460869179,0.23927698469153716,36,0.47715475288429665,0.10750315664025115
2026-09-24 17:00:00+00:00,3201,1733,32184.081459487385,-40565.34905704025,8381.260440000002,6403.511958373693,0.19896519235555296,33,0.39409517532278543,0.057135061458603136
2026-09-24 18:00:00+00:00,3128,1752,39710.87476378981,-46972.24542709132,7261.37489,12739.379767148077,0.3208033024436023,32,0.5141408677972104,0.10559676752482859
2026-09-24 19:00:00+00:00,2989,1707,49140.763199869594,-57162.285220925245,8021.525,11759.29393997163,0.23929815440886024,30,0.4583654926260136,0.06616190844260389
2026-09-24 20:00:00+00:00,3143,1637,38309.080494364855,-47987.8953139897,9678.81482,8853.378639204495,0.23110391909580807,32,0.42067485633502194,0.05361406216336602
2026-09-24 21:00:00+00:00,2920,1653,39538.25413225649,-51690.697393272036,12152.44326,9116.970509136427,0.23058606681620092,30,0.4042876878096084,0.06985343879543605
2026-09-24 22:00:00+00:00,3057,1691,44267.76411053184,-51287.648088260845,7019.88648,11533.164625888725,0.26053189849597225,31,0.4389543607503709,0.05301620942059253
2026-09-24 23:00:00+00:00,2670,1517,61894.02762370614,-71373.09176660606,9479.06761,27840.780922606864,0.4498136894866334,27,0.6084426098643766,0.08738873769505183
2026-09-25 00:00:00+00:00,3019,1453,62166.34711472299,-71313.44499744514,9147.100439999998,23710.212766876426,0.3813994848872355,31,0.6186724861905354,0.06681125828913381
2026-09-25 01:00:00+00:00,2927,1580,33054.18344184062,-39644.31989118483,6590.139019999999,7528.417296019903,0.22775989336618394,30,0.41719970657425537,0.08018689453551563
2026-09-25 02:00:00+00:00,2843,1622,32376.22084772987,-37815.86745990543,5439.652610000001,10508.971739798804,0.324589203577034,29,0.46475458561018695,0.059369488943767236
2026-09-25 03:00:00+00:00,2766,1470,35707.51185922223,-41805.89993373851,6098.39179,13672.084266348054,0.38289098160215124,28,0.5044366662493573,0.07550873518410203
2026-09-25 04:00:00+00:00,2594,1478,26168.437311092344,-32269.400208804156,6100.96675,6477.188234231948,0.24751910697725846,26,0.3929678223041202,0.11700733746500577
2026-09-25 05:00:00+00:00,2639,1482,40455.465553882146,-46668.673043873234,6213.207489999999,19741.295514017074,0.4879759815821148,27,0.609390766968964,0.14546715536169158
2026-09-25 06:00:00+00:00,2952,1583,46460.38903610068,-53561.26803333107,7100.8722,11633.452707027041,0.2503950773633774,30,0.4700481392661323,0.06255557588609595
2026-09-25 07:00:00+00:00,2857,1523,29455.457529109557,-35824.345829115206,6368.8883000000005,7316.1314447669465,0.24837948748671548,29,0.43081493419016886,0.05913624690938918
2026-09-25 08:00:00+00:00,3018,1846,30172.915783390727,-36314.15146360898,6141.23568,5816.943372283476,0.1927869157241186,31,0.3495467308190479,0.0804730533040341
2026-09-25 09:00:00+00:00,3189,1794,42572.09179525932,-50449.86085824241,7877.768980000001,10960.782033894595,0.25746402329977003,32,0.4450148877400783,0.08392210719458446
2026-09-25 10:00:00+00:00,3122,1809,31450.437449291665,-38596.82934192729,7146.388440000001,5503.875975282186,0.17500157141395012,32,0.3640985529270029,0.07677720413629957
2026-09-25 11:00:00+00:00,3321,1875,44533.699382984094,-52156.66731284865,7622.96493,10967.652437930728,0.24627759628972942,34,0.456488600064645,0.04547874415411003
2026-09-25 12:00:00+00:00,3312,1798,41096.11808654219,-48607.1059490936,7510.99042,8977.630817914673,0.21845447297501783,34,0.3909810468959594,0.06421793302832655
2026-09-25 13:00:00+00:00,3384,1945,39471.83874880565,-47185.43696607962,7713.59855,6476.715152960933,0.1640844551017251,34,0.3344888295928094,0.05497359711703853
2026-09-25 14:00:00+00:00,3404,1920,44998.64110201605,-54310.12656250487,9311.48546,9482.072413365078,0.21071908353561944,35,0.4013476600611264,0.05695589680692347
2026-09-25 15:00:00+00:00,3270,1845,42307.60801583503,-50643.17701801752,8335.56998,9942.427824848368,0.23500330770595879,33,0.4068550722454841,0.05145855183163959
2026-09-25 16:00:00+00:00,3201,1694,36904.91795202135,-44442.08616194918,7537.16351,6432.825520994928,0.17430808352854205,33,0.3993889544787932,0.03050418376740206
2026-09-25 17:00:00+00:00,2994,1603,33700.0831770181,-39306.96849025865,5606.8879799999995,6170.334329001891,0.18309552224517278,30,0.3537723424141136,0.061412718143123914
2026-09-25 18:00:00+00:00,3028,1726,32983.32597681221,-40309.31760747896,7325.99186,7355.824745970973,0.22301646447487533,31,0.4068764778697806,0.05938375834207109
2026-09-25 19:00:00+00:00,2747,1657,37052.40282518026,-43461.69633213703,6409.293889999999,8549.712777090885,0.23074651372624685,28,0.40888573150089935,0.03113096201841604
