cut_s,K,lookback_h,n_windows_eval,n_windows_with_leader_flow,coverage,n_flow_nonzero,n_slots,accuracy_flow_sign,accuracy_market,accuracy_diff,accuracy_diff_lo,accuracy_diff_hi,auc_flow,auc_flow_lo,auc_flow_hi,auc_market,auc_market_lo,auc_market_hi,brier_market,brier_market_recal_cv,brier_market_plus_flow_cv,brier_flow_only_cv,delta_brier_flow_vs_recal,delta_brier_lo,delta_brier_hi,delta_brier_flow_vs_market,delta_brier_vs_market_lo,delta_brier_vs_market_hi,n_disagree,accuracy_flow_when_disagree,disagree_lo,disagree_hi,median_abs_flow_usd
30,5,1,2010,740,0.3681592039800995,740,159,0.5324324324324324,0.6391891891891892,-0.10675675675675678,-0.15612595752089134,-0.059488600368391646,0.5406683710737765,0.4920772033683059,0.5851630494941199,0.6736669101533966,0.6306510915538488,0.7193106818254055,0.2268426298727706,0.22958092408832143,0.22987127786322084,0.25145137795090616,0.00029035377489939506,-0.0004154791267038939,0.0009971597311772857,0.003028647990450258,0.0013127996866394726,0.0047886473682182355,335,0.382089552238806,0.3316718720944197,0.4351808402053688,48.089347499968426
30,10,1,2010,1057,0.5258706467661691,1057,165,0.5383159886471145,0.6357615894039735,-0.09744560075685904,-0.1448818829228129,-0.054868768483312236,0.5471082256666022,0.5073172321854407,0.583331904140309,0.6705684660088427,0.6294000985699402,0.7107607868288578,0.22763333569686403,0.23084714233609183,0.23093563217979027,0.25075000181438517,8.848984369846885e-05,-0.00032837757329759015,0.0005196794619532557,0.0033022964829262642,0.0014762052525836603,0.005262047761894073,475,0.391578947368421,0.3487209532245824,0.4361765995360799,41.440000001025
30,20,1,2010,1477,0.7348258706467662,1477,167,0.5531482735274205,0.6472579553148273,-0.09410968178740686,-0.13244477691678636,-0.05575129242526414,0.5668207074874841,0.5374696569919317,0.6006049882344692,0.6960224459481763,0.6621144874906232,0.729094515919549,0.2207978622573092,0.22417500363347284,0.22418819582548716,0.24913254088700562,1.3192192014297827e-05,-0.0003642687644952602,0.00039924187914515625,0.0033903335681779393,0.0014461569747112758,0.005270733188180979,635,0.3905511811023622,0.3533709373240727,0.4290477404827577,40.51999999944074
30,5,6,2010,692,0.34427860696517415,692,151,0.5289017341040463,0.6372832369942196,-0.10838150289017334,-0.1660490869228447,-0.05274069547233807,0.5477802293317287,0.4878663414914684,0.5963417818309031,0.6863027780563634,0.6343594196609614,0.7343872283122855,0.22329164921836747,0.22878373318865677,0.2288914602069727,0.2525270104491775,0.00010772701831596353,-0.000392644607143436,0.0005933069684242884,0.005599810988605232,0.0024748098883160172,0.009190722625828948,331,0.3867069486404834,0.3358276974885294,0.4401857966531783,25.555801000431373
30,10,6,2010,1021,0.5079601990049751,1021,156,0.5044074436826641,0.6366307541625857,-0.13222331047992164,-0.173595142282265,-0.07984048802934252,0.5249538390521619,0.4849232267473198,0.5657049102251805,0.6888675180797046,0.6514614837830038,0.7287864435582208,0.2226605230032728,0.22616736412023405,0.22677525792758266,0.2519294389340884,0.0006078938073486048,-1.2546352473689376e-06,0.0012242175256989474,0.004114734924309876,0.0012412669113748092,0.007539731561337746,487,0.3613963039014374,0.3199668576602447,0.4049953297338149,33.58287000063017
30,20,6,2010,1352,0.672636815920398,1352,167,0.5192307692307693,0.6309171597633136,-0.11168639053254437,-0.16067362033787957,-0.06956869699827538,0.539782170282929,0.504831772027267,0.5758128100334003,0.6851596388773931,0.6476759591886455,0.723581190080477,0.22345891788989897,0.22603665360004013,0.22626576049955302,0.25033665920241643,0.0002291068995128842,-0.00010720170530570909,0.0005956061181580851,0.0028068426096540425,0.001198674445202856,0.004530933587647198,619,0.3780290791599354,0.34069237296174376,0.4168703845676183,37.71797749825883
60,5,1,2010,829,0.41243781094527365,829,161,0.5211097708082026,0.6815440289505428,-0.16043425814234014,-0.20859482598176066,-0.10736136648610077,0.5406012761399096,0.49951730348121687,0.584534328013751,0.7391627078384798,0.6941621686869888,0.7842528831481063,0.20778787424285716,0.21060641983439551,0.21104341035104876,0.25157830979072565,0.0004369905166532759,-0.0003658096839486131,0.0012070186820997242,0.0032555361081916387,0.0011468393485524696,0.005420897169759747,359,0.3147632311977716,0.26889719513688803,0.3645516707042945,66.76059999993686
60,10,1,2010,1138,0.5661691542288557,1138,165,0.5448154657293497,0.6818980667838312,-0.13708260105448156,-0.1815971640697431,-0.09627357276839485,0.5594429683638161,0.5208912874517042,0.5969288478517851,0.7375463420662383,0.6945185420545918,0.7757572826376202,0.20822895305778885,0.2114783274564539,0.21166917471343005,0.2501649082095682,0.00019084725697615792,-0.0001474595855514558,0.000557628776285708,0.0034402216556412095,0.001614633494314122,0.005408959597034522,468,0.3333333333333333,0.2921331313917115,0.37724744039339597,51.48785549704445
60,20,1,2010,1561,0.7766169154228856,1561,167,0.5528507367072389,0.6841768097373478,-0.1313260730301089,-0.1718245127698805,-0.09345243718493232,0.5772595948652287,0.5469625657873247,0.6095833442650278,0.7469376867264191,0.7152421420383571,0.7775247892223773,0.20478898496109504,0.20722290957158276,0.20735984570483704,0.24766698776170254,0.00013693613325426197,-4.786234879284855e-05,0.00034228707722996687,0.0025708607437420093,0.0007621102024674364,0.004379886796273293,639,0.3395931142410016,0.30393003014460596,0.37717337075539803,48.90000000054272
60,5,6,2010,789,0.3925373134328358,789,154,0.5361216730038023,0.6780735107731305,-0.14195183776932818,-0.1996179128051471,-0.08868050254247158,0.5577217814641183,0.5040938533142851,0.6075356953659683,0.7371013858121683,0.6881111184860016,0.785145750591248,0.2084540515129717,0.21122452827199895,0.21156069508348965,0.25061608986875306,0.0003361668114907283,8.471721914285857e-06,0.0006908993243630988,0.003106643570517959,0.0003663649615041756,0.005899242564240055,354,0.3418079096045198,0.294331989687336,0.39268036438217413,31.091427000043357
60,10,6,2010,1119,0.5567164179104478,1119,159,0.5022341376228776,0.6818588025022342,-0.17962466487935658,-0.22492891486631847,-0.13714514208326528,0.5267706779194334,0.4859365131303756,0.5648982782879955,0.7335562755732572,0.698347429988131,0.7684250216112105,0.20992503203311533,0.21248378969076573,0.2128059878331433,0.25150454368583014,0.000322198142377595,-0.0007711884910558816,0.0014574233901294617,0.0028809558000279776,0.00035684159136006497,0.005708574747171161,511,0.30332681017612523,0.2650581976552986,0.34453046029308787,34.5
60,20,6,2010,1435,0.7139303482587065,1435,167,0.5163763066202091,0.6829268292682927,-0.16655052264808368,-0.2062256607507661,-0.12419665404040402,0.5392196861958828,0.5054980635935875,0.5771927517022968,0.741285485588169,0.708077663141813,0.776947553048004,0.20702081598849126,0.20885159569430092,0.20910178467922313,0.2501301077453588,0.00025018898492222287,-0.00032894974139907493,0.0008553477357057823,0.002080968690731919,0.0005596758879981391,0.0037644484105696643,647,0.31530139103554866,0.2806779855146852,0.35210516786702856,39.25769900219123
