leaderboard,snapshot,lb_top,our_top,our_ranking,n_present_in_our_trades,n_in_our_top,n_in_any_hourly_top10_last24h,spearman_lb_vs_ours,median_share_of_lb_value_in_our_markets
day_pnl,20260925T2200Z,20,20,pnl,6,3,5,0.2,0.6992100018540706
day_pnl,20260925T2200Z,20,50,pnl,6,4,5,0.2,0.6992100018540706
day_pnl,20260925T2200Z,20,100,pnl,6,4,5,0.2,0.6992100018540706
day_pnl,20260925T2200Z,50,20,pnl,16,6,13,0.32647058823529407,0.8641169569010656
day_pnl,20260925T2200Z,50,50,pnl,16,10,13,0.32647058823529407,0.8641169569010656
day_pnl,20260925T2200Z,50,100,pnl,16,11,13,0.32647058823529407,0.8641169569010656
day_pnl,20260925T2200Z,100,20,pnl,40,7,25,0.45459662288930586,0.7086331820683195
day_pnl,20260925T2200Z,100,50,pnl,40,14,25,0.45459662288930586,0.7086331820683195
day_pnl,20260925T2200Z,100,100,pnl,40,23,25,0.45459662288930586,0.7086331820683195
day_vol,20260925T2200Z,20,20,volume,14,13,11,0.3406593406593406,0.5685453966193106
day_vol,20260925T2200Z,20,50,volume,14,13,11,0.3406593406593406,0.5685453966193106
day_vol,20260925T2200Z,20,100,volume,14,13,11,0.3406593406593406,0.5685453966193106
day_vol,20260925T2200Z,50,20,volume,41,20,25,0.5759581881533102,0.53149647531236
day_vol,20260925T2200Z,50,50,volume,41,36,25,0.5759581881533102,0.53149647531236
day_vol,20260925T2200Z,50,100,volume,41,37,25,0.5759581881533102,0.53149647531236
day_vol,20260925T2200Z,100,20,volume,85,20,46,0.6798710181747117,0.5387963450448026
day_vol,20260925T2200Z,100,50,volume,85,46,46,0.6798710181747117,0.5387963450448026
day_vol,20260925T2200Z,100,100,volume,85,70,46,0.6798710181747117,0.5387963450448026
