group,n_markets_from,n_markets_to,n_wallet_hours,share
top10_heure,1,1,28,0.058333333333333334
top10_heure,2,2,23,0.04791666666666667
top10_heure,3,5,97,0.20208333333333334
top10_heure,6,10,125,0.2604166666666667
top10_heure,11,24,170,0.3541666666666667
top10_heure,25,36,22,0.04583333333333333
top10_heure,37,48,15,0.03125
autres,1,1,42633,0.28806859644855265
autres,2,2,24504,0.1655720424876348
autres,3,5,38806,0.262209789453769
autres,6,10,23986,0.16207194789048351
autres,11,24,15641,0.10568528879158896
autres,25,36,2020,0.013649017541014621
autres,37,48,406,0.0027433173869564043
