k,hour,n_wallets_both,spearman_pnl,spearman_roi
1,2026-09-23 21:00:00+00:00,2053,0.12698519041935208,0.2152306434283504
1,2026-09-23 22:00:00+00:00,2079,0.16277952342163415,0.18434383740323437
1,2026-09-23 23:00:00+00:00,2049,0.15135522044538888,0.15163220854800705
1,2026-09-24 00:00:00+00:00,2315,0.03555412096548744,0.033430631119247614
1,2026-09-24 01:00:00+00:00,2237,-0.05329582463364894,-0.01055495140254844
1,2026-09-24 02:00:00+00:00,2176,0.030964333818707744,0.07503256326808719
1,2026-09-24 03:00:00+00:00,2064,0.2000381463292231,0.24851765828183137
1,2026-09-24 04:00:00+00:00,2066,0.09421606327506249,0.13927276577086656
1,2026-09-24 05:00:00+00:00,2136,0.036084900346961005,0.045122571897717983
1,2026-09-24 06:00:00+00:00,2203,0.10871293228524867,0.13855666558170265
1,2026-09-24 07:00:00+00:00,2450,-0.01470863848948693,0.07237895244740612
1,2026-09-24 08:00:00+00:00,2622,-0.016884722685390856,0.05249942279510497
1,2026-09-24 09:00:00+00:00,2399,0.07571140759429193,0.0915005828554865
1,2026-09-24 10:00:00+00:00,2329,0.05277464336870486,0.08147081272815088
1,2026-09-24 11:00:00+00:00,2305,0.047650168648274344,0.07157745561369634
1,2026-09-24 12:00:00+00:00,2420,0.048767107569348676,0.1217749965973574
1,2026-09-24 13:00:00+00:00,2606,0.09483530830936865,0.15335384365226104
1,2026-09-24 14:00:00+00:00,2520,0.08375061849863505,0.12213866410527169
1,2026-09-24 15:00:00+00:00,2486,-0.08160869911080203,-0.04464848403446566
1,2026-09-24 16:00:00+00:00,2450,0.004910621393176314,-0.003379414770560367
1,2026-09-24 17:00:00+00:00,2333,0.05390264830020382,0.08732585572108617
1,2026-09-24 18:00:00+00:00,2265,0.17122199434220206,0.23117711320322945
1,2026-09-24 19:00:00+00:00,2230,0.061917279564509715,0.14968871936195063
1,2026-09-24 20:00:00+00:00,2254,0.1410262395509834,0.15732913194296783
1,2026-09-24 21:00:00+00:00,2204,0.10233861196701835,0.15405227908255054
1,2026-09-24 22:00:00+00:00,2089,0.07003261482034255,0.0741985568081336
1,2026-09-24 23:00:00+00:00,2060,0.14207126207821935,0.2049692943920502
1,2026-09-25 00:00:00+00:00,2246,0.07514940913772836,0.16567175306362703
1,2026-09-25 01:00:00+00:00,2169,0.1135666965142109,0.1356562903344499
1,2026-09-25 02:00:00+00:00,2040,0.08868079394337933,0.10150187541570659
1,2026-09-25 03:00:00+00:00,1990,0.13697440880129783,0.15935684464715094
1,2026-09-25 04:00:00+00:00,1887,0.2775777720306183,0.28653862259096624
1,2026-09-25 05:00:00+00:00,1996,0.07768061274313301,0.10948203046901228
1,2026-09-25 06:00:00+00:00,2116,0.12332994777034298,0.16482865928412976
1,2026-09-25 07:00:00+00:00,2140,0.1732503125329494,0.210434162184478
1,2026-09-25 08:00:00+00:00,2304,0.20837515090808395,0.258134796998729
1,2026-09-25 09:00:00+00:00,2359,0.1587162127099634,0.1898217116062255
1,2026-09-25 10:00:00+00:00,2371,0.1564363348005877,0.154716609183013
1,2026-09-25 11:00:00+00:00,2418,0.0985815021507667,0.12612104864652315
1,2026-09-25 12:00:00+00:00,2480,0.06833507930874061,0.09875979160521822
1,2026-09-25 13:00:00+00:00,2525,0.05260828411482889,0.10878404181034486
1,2026-09-25 14:00:00+00:00,2490,0.08751705581056171,0.0893234984526524
1,2026-09-25 15:00:00+00:00,2393,0.07107305356295501,0.11075584975386256
1,2026-09-25 16:00:00+00:00,2248,0.0372439496239115,0.053609476136090996
1,2026-09-25 17:00:00+00:00,2182,0.002759867665610117,0.06302108975519882
1,2026-09-25 18:00:00+00:00,2107,0.12992837865146692,0.16983209770017663
1,2026-09-25 19:00:00+00:00,1993,0.12160915558741595,0.17097314911398212
2,2026-09-23 21:00:00+00:00,1920,0.13354876538964106,0.21700583073566249
2,2026-09-23 22:00:00+00:00,1981,0.15657983860564018,0.2032690352643702
2,2026-09-23 23:00:00+00:00,2048,-0.030297263646680464,-0.021282676799512495
