k_hours,n_hour_pairs,median_n_wallets,spearman_pnl_mean,lo,hi,spearman_roi_mean,roi_lo,roi_hi,share_pairs_positive
1,47,2246.0,0.08915951171833125,0.06124115669921305,0.11636490193865454,0.1260705484074407,0.10024672851574444,0.1514743537644415,0.9148936170212766
2,46,2093.5,0.08372341869101026,0.05667467236440995,0.11268760068441172,0.12885471096608841,0.1055269064335964,0.15489363580275653,0.8913043478260869
3,45,2003.0,0.07445253086725083,0.05064082459370931,0.10378325119996985,0.11905187639626919,0.0964368262540542,0.14403638624529927,0.7777777777777778
4,44,1935.5,0.08438062921318853,0.06508706619716803,0.10522339963425717,0.13517473858200799,0.11812608946233948,0.15554776294043832,0.8636363636363636
5,43,1902.0,0.09734446886866176,0.06960746738038562,0.12466169715893786,0.1421349878747413,0.11137753720027024,0.1666051894992028,0.9069767441860465
6,42,1861.5,0.07673617470146639,0.051466343643709084,0.09581227828056403,0.12224341266407499,0.09324487378425125,0.14442842930475172,0.8809523809523809
7,41,1818.0,0.09061972481659303,0.06588910023832345,0.11084993496237311,0.13237914900369688,0.11119338563714375,0.15290307066425834,0.9512195121951219
8,40,1802.5,0.08845950245102492,0.07166630260917632,0.10364072013117817,0.1351219044425406,0.11965624769363718,0.1449117666611714,0.9
9,39,1772.0,0.08753891374187325,0.06194620404824071,0.10793806658862613,0.13103459154261826,0.1028458406996286,0.15112026701691483,0.8717948717948718
10,38,1763.5,0.0818158816899776,0.058466823348427586,0.09786150749113465,0.13423903062612508,0.10992906157482595,0.14868573300413182,0.8947368421052632
11,37,1737.0,0.09973292496752566,0.07350918575819222,0.12777955127439236,0.13826008811535598,0.10517579460444215,0.1673168339796894,0.8648648648648649
12,36,1704.0,0.08158330156602997,0.06273671180262998,0.10096948082938584,0.1290513717643742,0.105398548631418,0.14715836211266636,0.9722222222222222
