duration,group,bin_start_s,n_fills,share_of_group_fills
5m,top10_heure,-60,121,0.0016391221891086426
5m,top10_heure,-55,183,0.002479002980222162
5m,top10_heure,-50,84,0.0011379030073150908
5m,top10_heure,-45,125,0.0016933080465998374
5m,top10_heure,-40,171,0.002316445407748578
5m,top10_heure,-35,154,0.0020861555134109996
5m,top10_heure,-30,247,0.0033459767000812786
5m,top10_heure,-25,280,0.003793010024383636
5m,top10_heure,-20,328,0.004443240314277974
5m,top10_heure,-15,252,0.0034137090219452724
5m,top10_heure,-10,392,0.0053102140341370905
5m,top10_heure,-5,309,0.004185857491194798
5m,top10_heure,0,439,0.0059468978596586295
5m,top10_heure,5,1635,0.022148469249525873
5m,top10_heure,10,1496,0.020265510701706853
5m,top10_heure,15,1273,0.017244649146572744
5m,top10_heure,20,1783,0.02415334597670008
5m,top10_heure,25,1221,0.01654023299918721
5m,top10_heure,30,1204,0.016309943104849633
5m,top10_heure,35,1450,0.019642373340558114
5m,top10_heure,40,1064,0.014413438092657816
5m,top10_heure,45,1234,0.016716337036033594
5m,top10_heure,50,1335,0.018084529937686264
5m,top10_heure,55,1101,0.014914657274451367
5m,top10_heure,60,1201,0.01626930371173124
5m,top10_heure,65,1615,0.0218775399620699
5m,top10_heure,70,1054,0.01427797344892983
5m,top10_heure,75,1040,0.014088322947710648
5m,top10_heure,80,1213,0.016431861284204822
5m,top10_heure,85,1010,0.013681929016526687
5m,top10_heure,90,1060,0.014359252235166622
5m,top10_heure,95,1428,0.01934435112435654
5m,top10_heure,100,1280,0.017339474397182336
5m,top10_heure,105,1082,0.014657274451368192
5m,top10_heure,110,1320,0.017881332972094283
5m,top10_heure,115,998,0.013519371444053102
5m,top10_heure,120,1036,0.014034137090219452
5m,top10_heure,125,1461,0.0197913844486589
5m,top10_heure,130,1126,0.015253318883771336
5m,top10_heure,135,987,0.013370360335952316
5m,top10_heure,140,1111,0.015050121918179355
5m,top10_heure,145,1030,0.01395285830398266
5m,top10_heure,150,959,0.012991059333513954
5m,top10_heure,155,1253,0.01697371985911677
5m,top10_heure,160,962,0.01303169872663235
5m,top10_heure,165,1057,0.014318612842048226
5m,top10_heure,170,1404,0.019019235979409375
5m,top10_heure,175,1209,0.016377675426713627
5m,top10_heure,180,1206,0.01633703603359523
5m,top10_heure,185,1649,0.022338119750745056
5m,top10_heure,190,1163,0.01575453806556489
5m,top10_heure,195,1093,0.014806285559468979
5m,top10_heure,200,1681,0.022771606610674615
5m,top10_heure,205,1297,0.017569764291519914
5m,top10_heure,210,1302,0.017637496613383905
5m,top10_heure,215,1470,0.01991330262801409
5m,top10_heure,220,1115,0.01510430777567055
5m,top10_heure,225,1223,0.01656732592793281
5m,top10_heure,230,1416,0.01918179355188296
5m,top10_heure,235,1138,0.01541587645624492
5m,top10_heure,240,1548,0.020969926849092387
5m,top10_heure,245,1746,0.02365212679490653
5m,top10_heure,250,1487,0.020143592522351667
5m,top10_heure,255,1170,0.015849363316174477
5m,top10_heure,260,1211,0.016404768355459225
5m,top10_heure,265,903,0.012232457328637225
5m,top10_heure,270,895,0.012124085613654837
5m,top10_heure,275,578,0.007829856407477648
5m,top10_heure,280,513,0.006949336223245733
5m,top10_heure,285,471,0.006380384719588188
5m,top10_heure,290,388,0.005256028176645895
5m,top10_heure,295,325,0.004402600921159577
5m,autres,-60,5347,0.0018336982782715156
5m,autres,-55,7295,0.002501744705440566
5m,autres,-50,5229,0.0017932314002397148
5m,autres,-45,6198,0.0021255399156025535
5m,autres,-40,8877,0.0030442752227821663
5m,autres,-35,9346,0.0032051139159763576
5m,autres,-30,12269,0.00420752649637427
5m,autres,-25,16876,0.005787449437836188
5m,autres,-20,14827,0.005084766106589071
5m,autres,-15,12559,0.004306978993232086
5m,autres,-10,20538,0.007043294415399362
5m,autres,-5,18368,0.0062991153871874315
5m,autres,0,29679,0.010178105704286573
5m,autres,5,69030,0.023673123648603463
5m,autres,10,54308,0.01862436620466981
5m,autres,15,48762,0.01672242293717517
5m,autres,20,63304,0.021709451245128113
5m,autres,25,44998,0.015431598115889594
5m,autres,30,44606,0.015297165775309374
5m,autres,35,56046,0.019220395306528026
5m,autres,40,42303,0.014507375774400585
5m,autres,45,39515,0.013551260045988207
5m,autres,50,48908,0.016772492125248416
5m,autres,55,39822,0.013656542516799756
5m,autres,60,45028,0.015441886305219713
5m,autres,65,58932,0.02021011912008546
5m,autres,70,42924,0.014720341293534044
5m,autres,75,40938,0.014039263159880177
5m,autres,80,48648,0.01668332781772072
5m,autres,85,38883,0.013334522190767036
5m,autres,90,39297,0.013476499203522676
5m,autres,95,49218,0.01687880341499298
5m,autres,100,40532,0.013900029664279235
5m,autres,105,38649,0.013254274313992108
5m,autres,110,50386,0.01727935691957894
5m,autres,115,39344,0.01349261736680653
5m,autres,120,39833,0.013660314852887465
5m,autres,125,59964,0.02056403283304155
5m,autres,130,44580,0.015288249344556604
5m,autres,135,39428,0.013521424296930862
5m,autres,140,50258,0.017235460645103767
5m,autres,145,40066,0.013740219790018056
5m,autres,150,39660,0.013600986294417115
5m,autres,155,51480,0.01765453289048394
5m,autres,160,42532,0.014585908952953825
5m,autres,165,39760,0.013635280258850843
5m,autres,170,53935,0.018496449717331997
5m,autres,175,42786,0.014673015622615498
5m,autres,180,50672,0.017377437657859405
5m,autres,185,70388,0.02413883568561351
5m,autres,190,49263,0.016894235698988156
5m,autres,195,45877,0.015733042063262075
5m,autres,200,59966,0.020564718712330222
5m,autres,205,45902,0.01574161555437051
5m,autres,210,53105,0.018211809812532044
5m,autres,215,62701,0.021502658639592723
5m,autres,220,49990,0.01714355282042137
5m,autres,225,47769,0.016381883870348238
5m,autres,230,59583,0.02043337282854904
5m,autres,235,51651,0.017713175569665618
5m,autres,240,64130,0.02199271939135072
5m,autres,245,76254,0.026150519639296082
5m,autres,250,55228,0.01893987067746012
