wallet,n_hours_top10,pnl_in_top10_hours,n_hours_active,pnl_48h,pnl_incl_rebate_48h,volume_48h,markets_per_active_hour,name,pseudonym,taker_share_48h,pnl_outside_top10_hours
0x32ed2e546b187ca15e2841edc82b22c713cf8ec3,11,8860.159796013688,48,6179.114536027494,6937.567938641018,158904.4543739725,20.208333333333332,mo-money,Amazing-Mail,0.11692011494056019,-2681.0452599861937
0xc2ad03f79ca3f3c17d8c7de2612ce0c89b7d40ed,11,8844.658781088152,48,3620.9424040292383,4319.33825936927,144949.94858797075,19.270833333333332,bosona,Impolite-Sister,0.11188729991261437,-5223.716377058914
0xf3326d8fc30f7ed01bfade12c706cb52c397b1c0,10,5716.615340990791,48,2530.366812998105,3102.685669901746,118870.6274770019,10.125,0xf3326D8Fc30F7Ed01BfAde12c706cb52c397B1c0-1780211395335,Friendly-Diam,0.0,-3186.248527992686
0x8ac8617241fbd47d189a512516206c2b9a1b47ab,10,14876.262900057518,31,1492.3953638592561,1492.3953638592561,118926.26326509095,8.387096774193548,Oussou931,Enchanted-Troop,1.0,-13383.867536198262
0xa8278bd8002eddb9b26deb70d8331c23da45f959,10,13576.956996245532,22,-5138.586524967659,-5138.586524967659,218663.75053599683,4.681818181818182,JeroHJ,Imperfect-Deposition,1.0,-18715.543521213192
0x3725d52f3c252e8374999cc8617292ea2608ad88,9,8342.453215003923,48,8078.493687106226,8783.621311671088,149435.26718889378,19.583333333333332,almach,Rural-Wharf-Parable,0.12369561688965572,-263.9595278976967
0x502b532f55778c0985846dc53a9bc71eb4f33b15,9,6296.181171024844,46,6174.07754904694,6613.773420713545,136112.07076295305,24.67391304347826,0x502b532F55778c0985846Dc53a9bc71eB4F33b15-1761320484518,Stimulating-Power,0.13260830247352842,-122.10362197790437
0xe9076a87c5ed90ef16e6fe6529c943baeca0cff6,9,24902.631123778086,48,-791.0989468005446,-781.5369926662422,233975.0921535339,17.6875,suntori,All-Peasant-Drug,0.9941183480971102,-25693.730070578633
0xb55fa1296e6ec55d0ce53d93b9237389f11764d4,9,9401.313700913091,46,-4285.8144811500115,-4212.757539838874,541658.62527215,29.869565217391305,0xb55fa1296E6ec55D0cE53d93B9237389f11764d4-1777575277609,Lively-Authenticity,0.975427212212657,-13687.128182063103
0x280e296e5f14091642208ac24614826d9902fbd8,8,5515.471911033511,48,923.3531340647623,1481.006568799617,116497.15471593523,10.104166666666666,0x280E296e5f14091642208Ac24614826D9902fbd8-1780260958670,Blissful-Cormorant,0.0,-4592.1187769687485
0x0cb038487586d1119b165466072e9baf666f3a90,8,7129.273837939083,48,-9226.10428990713,-7908.337272379533,651655.6223620129,15.75,,,0.551958694588402,-16355.378127846214
0x9e3ed7b661a903fc97afcf49e0f014ebe869f882,8,11068.554924706037,48,-30195.389643951938,-30185.06693555195,212271.89183640515,19.020833333333332,0x9e3ed7b661a903fc97afcf49e0f014ebe869f882-1783406009396,Favorable-Pepper-Brushing,0.9923947133789558,-41263.94456865797
0x21f4c1a1be34a39a7bc20985df4b7e5a39fb691d,7,5514.308858052394,47,918.9091942670633,4290.495435049467,1030716.100921733,14.0,CrouchPredictions,Vague-Hourglass,0.24253347830928249,-4595.399663785331
0x71246529fd8c3887724b178844ba1bb94defcc9c,7,16644.85310680294,24,-22085.75327652182,-22078.953167155592,196795.91938153486,2.8333333333333335,Understandable98,Pointed-Dose-Formamide,0.9954758351097648,-38730.60638332476
0x664a25f165a0150ce687410470f3352f5783fc5f,7,6013.138106969575,46,-59522.11949800846,-58688.098963405726,196790.3659439693,6.391304347826087,itsonlyamatteroftime,Satisfied-Fan,0.0,-65535.25760497804
0x3708cef9f92678df15a0473e36c45d68a16cdaf9,6,5242.171942015767,48,4701.765042021005,5210.473401793542,107446.794135979,10.25,0x3708CEF9f92678DF15A0473e36c45d68A16cdAf9-1780222715877,Hearty-Prospect,0.0,-540.4068999947622
0xf03b3be0a0e7026bc41bbfcdc286129962833ba1,6,4844.924569048628,35,963.8434820546962,963.8434820546962,31359.517963980186,5.228571428571429,GameMaster2026,Powerful-Mastoid,1.0,-3881.0810869939314
0x8bf4e27a45614d084e9b90bd6bc489c866a811d8,6,4473.646125191839,28,718.8300535643639,718.8300535643639,280628.11065243563,6.964285714285714,Paulkao1982,Caring-Adobe,1.0,-3754.816071627475
0x64071a44d1f42709c82934bbefe3f292661493aa,5,7572.083202037213,6,7696.191849021899,7699.650268311517,79560.4861509781,3.5,smash-to-net,Rotten-Democracy,0.9937618278116214,124.10864698468595
0xd5b3b6a854543589560a40de153a78eedf3cb230,5,4493.019981752939,12,3788.0518639423635,3788.0518639423635,56352.422752242106,2.8333333333333335,,,1.0,-704.9681178105757
0x21d0a97aac03917e752857a551bbe5103a00e8d7,5,4719.864209018216,48,2982.832347005577,3279.3811042341863,40224.74888599442,17.229166666666668,PBot-6,Tangible-Friendship,0.004143854333868498,-1737.0318620126386
0x7743aea53acd19e496c1c515eb0a143fb437fb42,5,3059.1213969867476,48,1872.1921480516135,2444.6564181235817,118524.60373594839,10.1875,0x7743AEa53ACd19E496C1C515EB0a143fb437fB42-1780258394212,Disgusting-Tennis,0.0,-1186.9292489351342
0xdb1d1d4bcfbeb5f6134a8b86c851ab21536ab6c2,5,2824.942910004204,48,11.671474184803287,216.73073563622444,28548.083816815197,7.5625,nahoism,Watchful-Milk,0.0,-2813.2714358194007
0xefd1144fefbeaa6f181392a9ef73c2d5e275c520,5,6124.3516553908685,19,-472.31235835284275,-447.2695973961028,103227.13010595957,6.421052631578948,benzeau,Marvelous-Installation,0.9382918324622467,-6596.664013743712
0xc5e6250906f3a43348374632092a64ee2cf22d79,5,3613.1766389949144,31,-2257.90866120532,-2168.55605666141,204115.32048818158,6.612903225806452,peipeipei,Embellished-Doorknob,0.7201164993234415,-5871.085300200235
0xf518944dcdaa9968e9414bd6e7ac2d49f98bbb10,5,5239.200597009329,36,-3717.6682110572274,-3619.001641444912,41849.92415905723,3.861111111111111,woshsfq20,Linear-Turret,0.6802090940927306,-8956.868808066556
0x5e60d871c2d646de185e541290689b727ef0e468,5,3174.7249659641566,43,-4581.453345012171,-4581.453345012171,120763.91769703223,10.511627906976743,0x3664555C090fBEFHSVE94a7d216FCe860d746HD5,Victorious-Recess,1.0,-7756.178310976327
0x28cc505fb60501dbb2199a9662ba175919af904f,5,3198.0981200065053,48,-4675.388178965341,-4090.770671062679,122415.65998896534,10.375,0x28cC505fb60501Dbb2199A9662ba175919Af904F-1780262286739,Threadbare-Sneeze,0.0,-7873.486298971846
0xe8ade1c67a880380ec861c476052c2f00057a859,5,3768.6439698856375,23,-6618.689549313665,-6610.718511898787,104743.63270451064,4.130434782608695,suanlimao6,Careful-Rations,0.7756047408968834,-10387.333519199303
0x8ec422e3b8d0c4b86b57c97074d5fff43e0854f2,5,3991.85302888092,29,-8068.325043386588,-7931.69022040991,64717.17960725615,4.655172413793103,maroon6jdjdjdj,Accomplished-Landing,0.6530044055780402,-12060.178072267508
0x9547dd1651c3c1f9d12c538361bce4338b727117,5,14973.071985035303,23,-13769.79201367149,-13769.79201367149,120185.96541667149,4.782608695652174,asdaf54123,Stylish-Conservation,1.0,-28742.863998706795
0x4a86dfe0f05e34b133b29b7626368e78912c501e,5,5557.9162436415145,22,-25864.519690405985,-25864.519690405985,292289.2033215413,7.136363636363637,komsa,Perfumed-Praise-Retrospective,1.0,-31422.4359340475
0x941743de228c1339b996ae09cc84bd8179d86e5e,4,3319.293815020223,48,4723.668920065652,5328.286740186661,125248.80919693435,10.104166666666666,0x941743De228c1339B996ae09cc84BD8179D86e5e-1780214631894,Agitated-Destination,0.0,1404.3751050454289
0x4c9497941333332d29f1c235dd23200f3623ffad,4,2182.2935400446845,48,2245.2676673440155,4063.7238730810677,361339.065799656,12.0,,,0.0,62.97412729933103
