rank_48h,wallet,pnl,pnl_incl_rebate,fees,rebate_est,volume,n_markets,n_fills,wins,name,pseudonym,hours_active,hours_in_top10,markets_per_active_hour,first_t_rel_median,taker_share,fill_usd_median,t_rel_median_s,share_fills_pre_open,buy_price_vw_mean,volume_share_btc,volume_share_5m,win_rate_markets,profile,bot_like
1,0x074a3a0ffc6e1077a9d7fcbd774029e0cc6ef0e0,39206.32517843955,39320.185492381,1210.20945,113.86031394145246,47024.98651362176,15,1605,11,ox123bs,Colorless-Discussion-Steamroller,5,3,3.0,223.0,0.6766748521336283,8.152942000411784,109.0,0.0,0.444103044036224,1.0,0.5465513689956152,0.7333333333333333,mixte,False
2,0x5b6331e7ff0831a3fe2ed12004747db1a9c911a4,38629.69706900835,38821.11539000431,1624.56302,191.41832099596036,71407.51337891676,823,2084,386,neutralwave23,Monstrous-Dew,48,3,17.145833333333332,49.5,0.7107971079677665,5.499999999803919,194.0,0.12140115163147792,0.447814634411609,0.7357902202409539,0.3415759385090613,0.4690157958687728,mixte,True
3,0x03571aa3cdff1f00df80e4f8340c3f8783bca7d7,9950.171293060303,9982.66980408965,198.33100000000002,32.49851102934639,9041.885468939698,6,251,3,FennMeazell4035,Easy-Theme-Advertisement,3,1,2.0,572.0,0.5505837822307815,7.090987001053083,640.0,0.0,0.43009342635740394,1.0,0.0,0.5,mixte,False
4,0x66b5b67787fddbedfffaab6cf83ac4698b730c9e,9331.379355973695,9366.460283409491,163.97321,35.08092743579686,12739.286440022444,8,320,7,DambraVictoria,Back-Luck-Fork,3,3,2.6666666666666665,277.5,0.41880404566596785,6.175000000000001,584.0,0.003125,0.6199278444862544,1.0,0.1429830370487022,0.875,mixte,False
5,0x3725d52f3c252e8374999cc8617292ea2608ad88,8078.493687106226,8783.621311671088,493.23602,705.1276245648625,149435.26718889378,940,5897,448,almach,Rural-Wharf-Parable,48,9,19.583333333333332,71.75,0.12369561688965573,5.866667000400005,184.0,0.0,0.6159481380003798,0.9519187389218778,0.7677306274889905,0.4765957446808511,maker,True
6,0x64071a44d1f42709c82934bbefe3f292661493aa,7696.1918490218995,7699.650268311517,2459.09643,3.4584192896176447,79560.4861509781,21,1705,17,smash-to-net,Rotten-Democracy,6,5,3.5,35.5,0.9937618278116214,49.9999999974327,103.0,0.0,0.5553454428493791,1.0,1.0,0.8095238095238095,preneur,False
7,0xae3985e1b18b258e940365d8140fec972516ff04,7505.083597903428,7554.632223771158,787.17868,49.54862586773104,29805.514387045765,69,2354,32,alwayslaugh,Lumbering-Politics-Pneumonia,21,2,3.2857142857142856,137.0,0.747409686031575,4.05,185.0,0.010195412064570943,0.5011734756128949,1.0,0.5153990148126423,0.463768115942029,mixte,False
8,0x32ed2e546b187ca15e2841edc82b22c713cf8ec3,6179.114536027494,6937.567938641018,519.5874699999999,758.4534026135242,158904.4543739725,970,6447,452,mo-money,Amazing-Mail,48,11,20.208333333333332,76.75,0.11692011494056019,5.2702700008108065,188.0,0.0,0.6124991052122747,0.9542070638444735,0.7850475876366204,0.465979381443299,maker,True
9,0x502b532f55778c0985846dc53a9bc71eb4f33b15,6174.07754904694,6613.773420713545,26.438769999999998,439.6958716666063,136112.07076295305,1135,5299,666,0x502b532F55778c0985846Dc53a9bc71eB4F33b15-1761320484518,Stimulating-Power,46,9,24.67391304347826,-37.75,0.13260830247352842,10.0035,-16.0,0.6925835063219475,0.7667440412340352,0.7964259758910633,0.8172068597700135,0.586784140969163,maker,True
10,0x3663ed135115e034de3a9ad8cdca8493e8d68950,5609.810494835223,5610.498455266041,519.67577,0.6879604308175311,18290.701965180295,27,162,7,Nikos888,Several-Morning,7,2,3.857142857142857,45.0,0.9970478778177339,99.99999996627832,155.5,0.0,0.21043945845081574,1.0,1.0,0.25925925925925924,preneur,False
11,0x48ac40fc545cf327edd5365435c3a9f385614a7e,5096.039731142378,5138.953297251175,521.39203,42.91356610879765,763316.0049848576,631,3948,566,BoneOhio,Warlike-Fallingout,48,3,13.145833333333334,233.25,0.6367826307133447,11.2959,251.0,0.0,0.9862269323810758,0.9266152609271399,0.8759902741159141,0.8969889064976229,mixte,True
12,0x941743de228c1339b996ae09cc84bd8179d86e5e,4723.668920065652,5328.286740186661,0.0,604.6178201210085,125248.80919693435,485,5981,253,0x941743De228c1339B996ae09cc84BD8179D86e5e-1780214631894,Agitated-Destination,48,4,10.104166666666666,30.25,0.0,5.867647001705879,149.0,0.0,0.6552683924951623,1.0,1.0,0.5216494845360825,maker,False
13,0x3708cef9f92678df15a0473e36c45d68a16cdaf9,4701.765042021006,5210.473401793542,0.0,508.70835977253614,107446.794135979,492,5882,254,0x3708CEF9f92678DF15A0473e36c45d68A16cdAf9-1780222715877,Hearty-Prospect,48,6,10.25,39.5,0.0,4.415882,154.5,0.0,0.6619186666653325,1.0,1.0,0.516260162601626,maker,False
14,0x22a60c995b7bcf2516fccf2f228e35aefedbb5cc,4441.729379981759,4450.803525191126,336.95935000000003,9.074145209366678,10964.672709018749,46,288,27,rwpo,Gregarious-Maternity-Turn,24,3,1.9166666666666667,111.5,0.8848578700438663,15.367,207.5,0.003472222222222222,0.4878157490654758,0.9572016454615164,0.4979165319228618,0.5869565217391305,preneur,False
15,0x0ca4e9d27ff826a109ecbf74754fb66b93f277a6,4081.7629100579943,4219.239530799356,4161.68696,137.47662074136187,159986.594124942,555,9636,304,GoodFallen,Blue-Smith,48,3,11.5625,14.75,0.8562490166706259,10.4,155.0,0.0,0.5670289006866254,1.0,1.0,0.5477477477477477,preneur,False
16,0xaae20e7083e9ba59cdc9349f692399382f432383,4051.569547983078,4056.825568949927,170.14795999999998,5.256020966849428,8045.938421014522,19,460,14,120x,Wobbly-Schnitzel,5,2,3.8,234.0,0.8117298991446026,4.7550000000852854,611.0,0.010869565217391304,0.5145247382615715,1.0,0.14782832278401942,0.7368421052631579,preneur,False
17,0xa82365c8e854728c472812fba6202ca125386215,3925.884001063664,3953.6300848758565,545.2373,27.74608381219229,22527.773343928704,135,1890,79,mihaXd,Monthly-Lollipop,33,1,4.090909090909091,64.5,0.8068206022604907,3.5999999997583982,110.0,0.02486772486772487,0.5646778497852377,1.0,0.7725126806468134,0.5851851851851851,preneur,False
18,0xd5b3b6a854543589560a40de153a78eedf3cb230,3788.051863942363,3788.051863942363,773.41679,0.0,56352.422752242106,34,76,17,,,12,5,2.8333333333333335,91.5,1.0,487.2799999986853,161.0,0.0,0.6457180439197802,1.0,0.8291647168356697,0.5,preneur,False
19,0xa6657ab4eb9d92c8bbfb1d1d52ce7205e4ca01e3,3784.3116800145076,3796.8586806346757,219.13044,12.547000620167836,19272.06928798549,71,396,42,MikeAddon,Funny-Keyboarding,33,2,2.1515151515151514,645.0,0.6808438686014782,15.19025,700.5,0.0,0.7910676980197234,1.0,0.0,0.5915492957746479,mixte,False
20,0x0c7c5204404e9d5402d258fedac59c7212bae4cb,3735.9272610213498,3735.9272610213498,1733.21818,0.0,121195.27195697866,1713,18212,874,OhioRiskManagement,Palatable-Patent,48,2,35.6875,41.75,1.0,2.7499999999527716,108.0,0.0,0.795699759088046,0.41356021521026815,1.0,0.5102159953298308,preneur,True
