model,sample,horizon,h_eff,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,p_binom,pt_stat,pt_pvalue,base_rate,excess_accuracy,pt_hac_t,pt_hac_pvalue,acc_w,dm_brier_vs_reversal_t
timesfm,toutes,5,1,1492,1492,0.5113941018766756,0.5112874690754272,0.49790000575340887,0.25898035882725473,0.7123979933989909,0.19646255761289463,0.8720657542095315,0.19158625358933085,0.4879356568364611,-0.0006702412868633267,0.8490705762597739,0.19792101092073489,0.507463404914804,3.546448892852043
timesfm,toutes,10,1,1495,1495,0.4842809364548495,0.48419545373187756,0.47139788795417936,0.26736283874583516,0.7313509198965767,0.892782591824349,-1.222691214929764,0.8892768268271609,0.49498327759197325,-0.020735785953177266,-1.2139080923039491,0.8876085887983483,0.5002075749994046,5.973164401192332
timesfm,toutes,15,1,1497,1497,0.5103540414161657,0.51022816539313,0.5033474969649361,0.26533723172211154,0.729213051880921,0.21906490723424799,0.7917590676908831,0.21425058675219882,0.4923179692718771,0.002672010688042792,0.7768122440249343,0.21863477593784264,0.512798700918136,4.907666034620288
timesfm_cal,2e moitié,5,1,743,743,0.4939434724091521,0.4913623188405797,0.4898260869565217,0.25273719290826613,0.6987975958761907,0.6431266120759972,-0.5632030600359123,0.7133516902895342,0.4952893674293405,-0.010767160161507416,-0.5762016067007653,0.7177605403294235,0.48873821545878793,1.4190121607935902
timesfm_cal,2e moitié,10,1,747,747,0.47523427041499333,0.4733289843436371,0.4547047944027069,0.25155775357471355,0.6962889206156132,0.9178102218126137,-1.773943850704352,0.9619637807919391,0.4966532797858099,-0.028112449799196804,-1.8009467135809365,0.9641443604148119,0.4873323288926526,0.21508869838401629
timesfm_cal,2e moitié,15,1,748,748,0.49331550802139035,0.497268052665079,0.5006543800553542,0.25215300826966963,0.6974842230490569,0.6562176654028766,-0.16495156633611668,0.5655089479012918,0.5093582887700535,-0.016042780748663166,-0.16470506480106004,0.5654119348519843,0.47113363327496327,1.5990798639517052
reversal_h,toutes,5,1,1492,1492,0.49463806970509383,0.49424659110522984,0.49427356020942415,0.25061286863270776,0.694373784927941,0.6700652953950024,-0.44471691165897304,0.6717378268987694,0.4879356568364611,-0.017426273458445052,-0.44321406803104035,0.671194547867588,0.46584511903358444,
reversal_h,toutes,10,1,1495,1495,0.4889632107023411,0.4888580633613746,0.487821729013782,0.25088080267558527,0.694909939515053,0.8103893169560406,-0.8620413535827579,0.8056676190728445,0.49498327759197325,-0.01605351170568564,-0.8872737063383488,0.8125342209136334,0.5058426172518926,
reversal_h,toutes,15,1,1497,1497,0.520374081496326,0.5203224309076626,0.5200421338284654,0.24959759519038077,0.6923421544750578,0.06046688378466897,1.5729760683456904,0.05786217985578684,0.4923179692718771,0.012692050768203123,1.5853424981725515,0.056444269094685195,0.5085864487458467,
momentum_h,toutes,5,1,1492,1492,0.5053619302949062,0.5056563201196709,0.5057264397905759,0.25018391420911523,0.693515418089619,0.34889078840223586,0.43711325626784764,0.33101460700091834,0.4879356568364611,-0.006702412868632712,0.4373118065446595,0.33094261705866,0.5347389797050229,-0.4149514641837372
momentum_h,toutes,10,1,1495,1495,0.5130434782608696,0.5131286916055128,0.5121782709862179,0.24991759197324415,0.6929824896981652,0.1628546089414587,1.0156783761619292,0.15489128426857618,0.49498327759197325,0.008026755852842848,1.0449673118741216,0.14801903876673617,0.4960491622706065,-0.9609750395804725
momentum_h,toutes,15,1,1497,1497,0.4802939211756847,0.48031493251446117,0.4799578661715347,0.2512008016032064,0.6955502790311112,0.9395331162153311,-1.5236108793364507,0.9361970280756796,0.4923179692718771,-0.0273881095524382,-1.532801328394595,0.9373375933766669,0.4916687505185286,1.5641230330128013
always_up,toutes,5,1,1492,1492,0.4879356568364611,0.5,0.5,0.2508825737265415,0.6949134839365444,0.8309406914733921,,,0.4879356568364611,-0.024128686327077764,,,0.4811226604897125,0.36940787545459686
always_up,toutes,10,1,1495,1495,0.49498327759197325,0.5,0.5,0.25060066889632104,0.6943493732886172,0.6604858046685983,,,0.49498327759197325,-0.010033444816053505,,,0.48386893338915327,-0.39510666492907637
always_up,toutes,15,1,1497,1497,0.4923179692718771,0.5,0.5,0.25070728122912495,0.6945627117833424,0.732462172774357,,,0.4923179692718771,-0.015364061456245803,,,0.5030037392756599,1.5655350876290177
majority_prev_day,toutes,5,1,1492,1492,0.5020107238605898,0.49950376848282607,0.5008036793049881,0.25027694369973186,0.6937015759681758,0.4485055493474284,-0.03919228406917169,0.5156314573336892,0.4879356568364611,-0.010053619302949124,-0.040246139382789016,0.5160515532505883,0.5103541175262335,-0.45780782456050384
majority_prev_day,toutes,10,1,1495,1495,0.48963210702341137,0.48874172185430464,0.49024521209951666,0.2507558528428094,0.6946599040126114,0.7960521406982191,-0.884867624383133,0.8118859843080635,0.49498327759197325,-0.015384615384615385,-0.8922277848873964,0.8138645738140575,0.5103906338747138,-0.17359551569409268
majority_prev_day,toutes,15,1,1497,1497,0.4849699398797595,0.48352406627151323,0.4838668499607227,0.2509849031396126,0.695118250449377,0.8827667301032588,-1.2982965576929117,0.9029072755863735,0.4923179692718771,-0.022712090848363398,-1.3435758438600602,0.9104572073998394,0.4975459846681205,1.881298051918812
