model,sample,horizon,h_eff,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,p_binom,pt_stat,pt_pvalue,base_rate,excess_accuracy,pt_hac_t,pt_hac_pvalue,acc_w,dm_brier_vs_reversal_t
timesfm,toutes,5,1,598,598,0.47324414715719065,0.4728222528303154,0.4901624841827079,0.2612117300153172,0.7169681464915313,0.9114317772680802,-1.3299444160616105,0.9082317071290571,0.48327759197324416,-0.04347826086956519,-1.3587984753671503,0.9128947717032561,0.44566824645806924,2.597335490852739
timesfm,toutes,10,1,598,598,0.4698996655518395,0.4698271522067461,0.4792079207920792,0.26832455861025123,0.7338493790319526,0.9349000831878397,-1.4768735456050965,0.9301452312894607,0.49331103678929766,-0.03678929765886285,-1.4977137704566328,0.9328961837289234,0.4953237080287222,3.571903160707427
timesfm,toutes,15,1,599,599,0.4941569282136895,0.4943897923219345,0.5002453768765753,0.2668919230988286,0.7321410756111416,0.6281019223737625,-0.27484330624879005,0.6082816873821337,0.5108514190317195,-0.016694490818029983,-0.26857935032351943,0.6058732976767836,0.496956007420453,3.461003618077415
timesfm_cal,2e moitié,5,1,298,298,0.46308724832214765,0.4928571428571429,0.5177893309222423,0.258867145973348,0.711610826646622,0.9086753664159885,-1.5099817813619367,0.9344759634915117,0.5302013422818792,-0.06711409395973156,,,0.4245976667689075,1.8871006993831116
timesfm_cal,2e moitié,10,1,298,298,0.4429530201342282,0.4925373134328358,0.5032763014197307,0.2662363025691646,0.7422489210602458,0.9787844122479735,-1.5724494992912494,0.9420768288452451,0.5503355704697986,-0.10738255033557043,,,0.42921113675717293,3.030518902497713
timesfm_cal,2e moitié,15,1,299,299,0.4414715719063545,0.4932512002898813,0.4577180904067397,0.2707104978213724,0.7679538548618706,0.9814143190496394,-0.6799534821165337,0.751733042081518,0.5551839464882943,-0.11371237458193978,,,0.41830132047640634,3.805608120917068
reversal_h,toutes,5,1,598,598,0.5167224080267558,0.5178049517922532,0.5186448080088689,0.2496969899665552,0.6925410502212654,0.21860162587221457,0.8728113831423275,0.19138294702672015,0.48327759197324416,0.0,0.8353725742150088,0.20175398333508526,0.5075273269510348,
reversal_h,toutes,10,1,598,598,0.49498327759197325,0.4952956312580411,0.4952956312580411,0.25060066889632104,0.694349373288617,0.6126431072388674,-0.23050645580617884,0.5911508762314298,0.49331103678929766,-0.01170568561872909,-0.22884666805439502,0.5905059533736396,0.4969652616326946,
reversal_h,toutes,15,1,599,599,0.5409015025041736,0.5405039148765308,0.5389981931339088,0.2488293823038397,0.6908049082022049,0.02488096115947167,1.9852779213693694,0.023556779531498356,0.5108514190317195,0.03005008347245408,2.0434329603118258,0.020504798723269765,0.579342584402262,
momentum_h,toutes,5,1,598,598,0.4816053511705686,0.48046494440151843,0.4813551919911311,0.25110167224080265,0.6953519145375603,0.8265257117429471,-0.9578320913455275,0.8309262829333612,0.48327759197324416,-0.03511705685618727,-0.9172963017997576,0.8205063026171564,0.48625016696863604,0.8257328220231824
momentum_h,toutes,10,1,598,598,0.5050167224080268,0.5047043687419589,0.5047043687419589,0.25019933110367887,0.693546269198247,0.41900568320622394,0.23050645580617884,0.4088491237685702,0.49331103678929766,-0.0016722408026755842,0.22884666805438628,0.40949404662636374,0.5030347383673054,-0.24403841750792932
momentum_h,toutes,15,1,599,599,0.46243739565943237,0.4629090544067456,0.46100180686609116,0.2519679465776294,0.6970853877692437,0.9699576953193906,-1.8185006870565639,0.9655061790988209,0.5108514190317195,-0.04841402337228712,-1.8865938434498697,0.9703925122618333,0.42532817641834264,1.9888095351262116
always_up,toutes,5,1,598,598,0.48327759197324416,0.5,0.5,0.25106889632107027,0.6952863280607152,0.8047530897549975,,,0.48327759197324416,-0.03344481605351168,,,0.5049064541861094,1.2109724950603717
always_up,toutes,10,1,598,598,0.49331103678929766,0.5,0.5,0.2506675585284281,0.6944832239703453,0.6435607375086592,,,0.49331103678929766,-0.013377926421404673,,,0.48057769693292424,0.057831655637833934
always_up,toutes,15,1,599,599,0.5108514190317195,0.5,0.5,0.24996594323873123,0.6930792442820332,0.3119768291417503,,,0.5108514190317195,0.0,,,0.4945741112642366,1.0325769115491699
majority_prev_day,toutes,5,1,598,598,0.5133779264214047,0.5102014535111589,0.5123962777572479,0.2497953177257525,0.6927378096518003,0.26982508445920805,0.5083953246386571,0.3055880654746335,0.48327759197324416,-0.0033444816053511683,0.5094366662161413,0.3052230904858726,0.5264238656479812,0.08568986368534537
majority_prev_day,toutes,10,1,598,598,0.560200668896321,0.5590255635733065,0.5618895787883874,0.24791973244147159,0.6889846351073305,0.0018279107955944617,2.935469642506278,0.0016652159874458942,0.49331103678929766,0.05351170568561869,2.9694927972271805,0.0014914590262707565,0.5663545442850383,-2.3676781449922717
majority_prev_day,toutes,15,1,599,599,0.5392320534223706,0.5412623524950367,0.5414519618996632,0.2488280467445743,0.6908022349444971,0.030042304680609425,2.056580173204081,0.019863313507703557,0.5108514190317195,0.028380634390651083,1.9795816904671455,0.023875276020130693,0.5438796942476211,-0.0011602290127493212
