model,sample,horizon,h_eff,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,p_binom,pt_stat,pt_pvalue,base_rate,excess_accuracy,pt_hac_t,pt_hac_pvalue,acc_w,dm_brier_vs_reversal_t
timesfm,toutes,5,1,1498,1498,0.5166889185580774,0.5165644566429368,0.5174864911227378,0.25557509859911065,0.7052070608727332,0.10274557418871115,1.2811123931213486,0.10007709571878587,0.4753004005340454,-0.008010680907877266,1.3049052497862303,0.09596255670082632,0.5132714163869447,2.0455709278535315
timesfm,toutes,10,1,1498,1498,0.493324432576769,0.4931234514387238,0.4928514219560792,0.2637993608365944,0.7236019614201329,0.7062829808868117,-0.5323452461084065,0.7027565499095094,0.48664886515353806,-0.020026702269692886,-0.5431573572312524,0.7064892680016877,0.4850726707376187,5.1483011695760315
timesfm,toutes,15,1,1499,1499,0.5176784523015343,0.5177405342277482,0.5111766255777024,0.26297497939831166,0.7228455014916317,0.08961300181381517,1.3742593641017096,0.0846805884677374,0.5043362241494329,0.013342228152101399,1.3176538682471048,0.0938097720132286,0.49535032554585917,4.140135880501619
timesfm_cal,2e moitié,5,1,748,748,0.5013368983957219,0.5013368983957219,0.5076961022620035,0.2539389164324325,0.7042541870460601,0.48541810001895647,0.2119377774501995,0.41607778892117586,0.5,0.0013368983957219305,0.2104179168722716,0.4166707550137299,0.4701312428825822,1.25129348771629
timesfm_cal,2e moitié,10,1,749,749,0.5020026702269693,0.5013404634581105,0.49258110516934045,0.25101612195888523,0.6979660267504849,0.470875085104529,0.5812157676337297,0.28054752103404906,0.4993324432576769,0.001335113484646211,,,0.49385632202149155,0.7659800762460224
timesfm_cal,2e moitié,15,1,749,749,0.5300400534045394,0.5352117705878152,0.5342439825726734,0.24963652732291777,0.6924205873131886,0.05391665054691682,1.9885907340470914,0.023373197489558756,0.520694259012016,0.009345794392523366,1.9042474786458041,0.02843898044857452,0.5059177885809164,-0.017145229273444806
reversal_h,toutes,5,1,1498,1498,0.48598130841121495,0.48498834948680564,0.48467653743888844,0.25097276368491317,0.6950939594353972,0.8667181002894715,-1.1618620780277733,0.8773542534407117,0.4753004005340454,-0.03871829105473973,-1.1538365450822266,0.8757164058350951,0.47450056141894487,
reversal_h,toutes,10,1,1498,1498,0.5126835781041389,0.5123715441106955,0.5120468925314082,0.24990574098798396,0.6929587753604922,0.16954400055863655,0.9579114852019819,0.16905369723676528,0.48664886515353806,-0.0006675567423229944,0.9633770184124982,0.16767917752905837,0.47282699465994743,
reversal_h,toutes,15,1,1499,1499,0.5063375583722481,0.5063814294971765,0.5067196835366419,0.25013288859239496,0.6934133130930525,0.32100414425521545,0.4943096734641146,0.3105437472201708,0.5043362241494329,0.002001334222815232,0.489425978118513,0.31227007401400464,0.4808569473161691,
momentum_h,toutes,5,1,1498,1498,0.5146862483311081,0.5155155530777369,0.5153234625611116,0.24982456608811748,0.6927963383206027,0.13328189971052848,1.2005788540312587,0.11495730387798797,0.4753004005340454,-0.010013351134846582,1.1986953144488783,0.11532322032006853,0.5259980762118918,-1.1097763255548334
momentum_h,toutes,10,1,1498,1498,0.48798397863818427,0.4882786509478221,0.4879531074685918,0.25089372496662216,0.6949357981801991,0.8304559994413634,-0.9075394585586846,0.8179392034874722,0.48664886515353806,-0.02536715620827762,-0.9111041831672079,0.8188797587158554,0.527429290898267,0.9627489572037503
momentum_h,toutes,15,1,1499,1499,0.49299533022014674,0.49295719484144784,0.4932803164633582,0.25066657771847894,0.6944812611607449,0.7150523076863515,-0.5455334631845926,0.7073066639473642,0.5043362241494329,-0.011340893929286167,-0.5401671986008957,0.7054591342688468,0.5189512173885819,0.5115643407164948
always_up,toutes,5,1,1498,1498,0.4753004005340454,0.5,0.5,0.2513879839786382,0.695924844063139,0.9736933381911385,,,0.4753004005340454,-0.049399198931909305,,,0.4896688368101881,0.5646239094693877
always_up,toutes,10,1,1498,1498,0.48664886515353806,0.5,0.5,0.2509340453938585,0.6950164822270575,0.8552750249761787,,,0.48664886515353806,-0.02670226969292383,,,0.48384646079811633,1.4351386132546473
always_up,toutes,15,1,1499,1499,0.5043362241494329,0.5,0.5,0.2502265510340227,0.6936007381214322,0.3783084604690854,,,0.5043362241494329,0.0,,,0.5067526682979605,0.1265824441187141
majority_prev_day,toutes,5,1,1498,1498,0.5033377837116155,0.4997426880521485,0.4997426880521485,0.25026648865153533,0.6936806559975258,0.40806636832853693,-0.020114465667055822,0.5080239697266591,0.4753004005340454,-0.021361815754339153,-0.02112776832132958,0.5084281330405914,0.48780992117481803,-0.9879048395545408
majority_prev_day,toutes,10,1,1498,1498,0.4986648865153538,0.49568498807529776,0.4956849880752977,0.25045340453938586,0.6940546873417948,0.5513918053525957,-0.34263412437482654,0.6340631365887253,0.48664886515353806,-0.014686248331108098,-0.3435452771939704,0.6344058576201773,0.47635929252405573,0.729852153022001
majority_prev_day,toutes,15,1,1499,1499,0.4703135423615744,0.47084072151366907,0.47084072151366896,0.251587458305537,0.6963240056940474,0.9899676215864087,-2.2756048746003072,0.9885651653391468,0.5043362241494329,-0.0340226817878585,-2.334426181068804,0.9902132913920495,0.48374162070986587,2.0430656841846258
