model,sample,horizon,h_eff,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,p_binom,pt_stat,pt_pvalue,base_rate,excess_accuracy,pt_hac_t,pt_hac_pvalue,acc_w,dm_brier_vs_reversal_t
timesfm,toutes,5,1,599,599,0.48414023372287146,0.4840582134493141,0.5040147206423553,0.25875699760772813,0.7119319641673606,0.7930757319413917,-0.7808814473749446,0.782563887619612,0.49081803005008345,-0.02504173622704503,-0.7491693448097448,0.7731224283467677,0.4781813963246143,2.0981714933557263
timesfm,toutes,10,1,598,598,0.4983277591973244,0.49859520691314907,0.5087813559891199,0.2589815604963831,0.7125618117649896,0.5488127184287339,-0.06875247357531096,0.5274066754447949,0.5133779264214047,-0.015050167224080258,-0.06768315576057611,0.5269810708423166,0.4688528306182298,1.8474616816735034
timesfm,toutes,15,1,598,598,0.49331103678929766,0.49344056773789136,0.5012368895306536,0.2621479097294336,0.7198001160551981,0.6435607375086592,-0.3209790008715734,0.6258868477609376,0.5133779264214047,-0.02006688963210701,-0.3208708504882976,0.6258458676127575,0.471039110388379,2.6736074697425147
timesfm_cal,2e moitié,5,1,299,299,0.48494983277591974,0.4954888230541341,0.48906993446449415,0.25651477885095914,0.7139714099184515,0.7184377693631492,-0.16802741905928964,0.5667191457760474,0.47157190635451507,-0.04347826086956519,-0.1716057612539962,0.5681262610878508,0.4418153281850479,1.2550105480379081
timesfm_cal,2e moitié,10,1,298,298,0.4798657718120805,0.4813513513513514,0.4821846846846847,0.25280056263732104,0.6987056017773459,0.7742683124120323,-0.7193390099237793,0.7640339671788157,0.4966442953020134,-0.023489932885906117,-0.7407031266623726,0.770563268424803,0.4700981126822187,0.34913960361057156
reversal_h,toutes,5,1,599,599,0.5158597662771286,0.5158804505408721,0.5158804505408722,0.24976560934891487,0.6926783626075412,0.2310440519563678,0.7778509903005392,0.21832843183532502,0.49081803005008345,0.006677796327212104,0.7943124170197637,0.2135067885530914,0.5044049850506058,
reversal_h,toutes,10,1,598,598,0.5050167224080268,0.506184447653268,0.5079754189193727,0.25013110367892977,0.6934097407884804,0.41900568320622394,0.30376491430793906,0.38065349935365156,0.5133779264214047,-0.00836120401337792,0.30970567535763743,0.37839239326776847,0.4859811657266085,
reversal_h,toutes,15,1,598,598,0.5317725752508361,0.5318848853218712,0.5310733514669175,0.249161872909699,0.691470244767439,0.06509991681216029,1.5602100936022558,0.059355120570777985,0.5133779264214047,0.018394648829431426,1.5871948172647388,0.05623426411301122,0.5026724482409559,
momentum_h,toutes,5,1,599,599,0.48414023372287146,0.48411954945912794,0.4841195494591279,0.2510343906510851,0.6952172798793229,0.7930757319413917,-0.7778509903005364,0.7816715681646742,0.49081803005008345,-0.02504173622704503,-0.794312417019765,0.786493211446909,0.4955950149493942,0.793085745195824
momentum_h,toutes,10,1,598,598,0.4916387959866221,0.490558223356504,0.4920245810806273,0.2506662207357859,0.6944805462423069,0.6735630431980959,-0.4634958081029689,0.6784954905726291,0.5133779264214047,-0.021739130434782594,-0.4745283237625524,0.6824383974343597,0.5106525088168333,0.3361573155538396
momentum_h,toutes,15,1,598,598,0.4698996655518395,0.4698333277365481,0.4689266485330826,0.2516367892976588,0.6964227199913868,0.9349000831878397,-1.476108707002885,0.930042644075306,0.5133779264214047,-0.04347826086956519,-1.5036582201284523,0.933665303969506,0.49815423636627726,1.5410533422626036
always_up,toutes,5,1,599,599,0.49081803005008345,0.5,0.5,0.25076727879799665,0.6946827709800005,0.6880231708582497,,,0.49081803005008345,-0.018363939899833037,,,0.5129172706761084,0.941298175789992
always_up,toutes,10,1,598,598,0.5133779264214047,0.5,0.5,0.2498648829431438,0.6928770157896055,0.26982508445920805,,,0.5133779264214047,0.0,,,0.5520472017974497,-0.22459463724086468
always_up,toutes,15,1,598,598,0.5133779264214047,0.5,0.5,0.2498648829431438,0.6928770157896055,0.26982508445920805,,,0.5133779264214047,0.0,,,0.5405117194056623,0.6078310899808899
majority_prev_day,toutes,5,1,599,599,0.5125208681135225,0.5111296977807517,0.5111296977807517,0.24989916527545908,0.6929456170572025,0.2836708929704018,0.5515523973615746,0.2906275290818254,0.49081803005008345,0.0033388981636059967,0.5547068315251001,0.28954760134579716,0.5090891652779477,0.11826570699697127
majority_prev_day,toutes,10,1,598,598,0.4765886287625418,0.47957173399599273,0.4795717339959927,0.25133645484949835,0.6958217307876287,0.8821819497088034,-1.0256676679700212,0.8474758703039746,0.5133779264214047,-0.03678929765886285,-0.9985910814244129,0.8410035888579179,0.48212700615598036,1.099580188422652
majority_prev_day,toutes,15,1,598,598,0.48494983277591974,0.48655092514859466,0.48655092514859466,0.2510020066889632,0.6951524773789869,0.7813983741277855,-0.6629058158757998,0.7463045616560651,0.5133779264214047,-0.02842809364548493,-0.7186198580215558,0.7638124127367716,0.5006874760396096,1.7113612966832081
