model,sample,horizon,h_eff,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,p_binom,pt_stat,pt_pvalue,base_rate,excess_accuracy,pt_hac_t,pt_hac_pvalue,acc_w,dm_brier_vs_reversal_t
timesfm,toutes,5,1,1440,1440,0.5138888888888888,0.5136178359683794,0.5172809103260869,0.2556352474678512,0.7053616628357449,0.15203524225794474,1.0339479802827003,0.15058024138943193,0.4888888888888889,0.002777777777777768,1.0148336482441918,0.15509256561588947,0.5012242073274557,2.2180951511477893
timesfm,toutes,10,1,1454,1454,0.5130674002751031,0.5128211436736471,0.5023420422608514,0.2610053592376187,0.7172957214509353,0.1659418022432726,0.9784263376869594,0.16393175360412654,0.49174690508940855,0.004814305364511662,0.9607617644732812,0.16833598384155662,0.5068666959507516,4.011216492714077
timesfm,toutes,15,1,1459,1459,0.49485949280328995,0.49467849098887384,0.49384656456689063,0.26508481815359336,0.7271505994063189,0.6623418208916949,-0.40661573433460735,0.657854880441342,0.4886908841672378,-0.016449623029472227,-0.40429778912772635,0.6570031244655368,0.4870845352113427,4.997269091848703
timesfm_cal,2e moitié,5,1,717,717,0.4909344490934449,0.485435872679706,0.5216495888875047,0.2501770843533874,0.693502994042163,0.6994416451239673,-0.8572354112435063,0.8043426020842751,0.48675034867503486,-0.022315202231520226,-0.8679513027162838,0.8072895039884971,0.4774669497846693,-0.6360865756531042
timesfm_cal,2e moitié,10,1,725,725,0.46620689655172415,0.49852507374631266,0.5180047992419031,0.25270512025927216,0.7050661917361237,0.9683783075992702,-1.0685460509211488,0.85736286540517,0.4675862068965517,-0.06620689655172413,,,0.4956112751369382,1.123931777124519
timesfm_cal,2e moitié,15,1,730,730,0.5205479452054794,0.49853312872359634,0.49977432749593786,0.2509243074581431,0.6978985998358206,0.1415555788453965,-0.2426935460923996,0.5958785962597674,0.4767123287671233,-0.002739726027397249,-0.23873420665640518,0.5943441547637609,0.4928086533361863,0.6150873942581839
reversal_h,toutes,5,1,1440,1440,0.49930555555555556,0.49879570158102765,0.49598181200592883,0.2505352777777778,0.6942185118886716,0.531504524096096,-0.09150516049863414,0.5364543970217044,0.4888888888888889,-0.011805555555555514,-0.09146423100455355,0.5364381367035311,0.49517313230086396,
reversal_h,toutes,10,1,1454,1454,0.5082530949105915,0.5078124852143797,0.510509382363239,0.24997469050894086,0.6930967414039937,0.27320240224829545,0.5967843690961177,0.2753256775877803,0.49174690508940855,0.0,0.6298939720896545,0.26438197850004114,0.4967857768807891,
reversal_h,toutes,15,1,1459,1459,0.5092529129540782,0.5087535580130025,0.5127862860924463,0.24988403015764218,0.6929153259769264,0.2480422669762868,0.6694396690709771,0.2516075268919098,0.4886908841672378,-0.0020562028786840214,0.673804020681297,0.25021795915899725,0.5008381656755488,
momentum_h,toutes,5,1,1440,1440,0.5069444444444444,0.5064846837944664,0.5040181879940712,0.2502297222222222,0.6936070745383875,0.3083009124263088,0.49263011180217287,0.3111369837760544,0.4888888888888889,-0.004166666666666652,0.48775674112204065,0.31286107786457384,0.5155708718892207,-0.294749634137589
momentum_h,toutes,10,1,1454,1454,0.48762035763411277,0.4875374963331661,0.48949061763676105,0.25079999999999997,0.6947482415623197,0.8340581977567274,-0.9506657683139913,0.8291129646697453,0.49174690508940855,-0.020632737276478685,-0.9789954668676628,0.8362088903277507,0.5022107307428155,0.8352320326878964
momentum_h,toutes,15,1,1459,1459,0.4838930774503084,0.4838925884286085,0.48721371390755364,0.250898423577793,0.6949451958768035,0.8955669310177364,-1.2306123403197669,0.8907660561971802,0.4886908841672378,-0.027416038382453767,-1.238223665250873,0.8921834305164087,0.4998027434610321,0.9866900516667325
always_up,toutes,5,1,1440,1440,0.4888888888888889,0.5,0.5,0.2508444444444444,0.6948371846620269,0.8077443190060692,,,0.4888888888888889,-0.0222222222222222,,,0.4844342483144237,0.4221044302987191
always_up,toutes,10,1,1454,1454,0.49174690508940855,0.5,0.5,0.2507301237964237,0.6946084213067626,0.7439614930642007,,,0.49174690508940855,-0.016506189821182904,,,0.4927096230472972,1.053151181287571
always_up,toutes,15,1,1459,1459,0.4886908841672378,0.5,0.5,0.2508523646333105,0.6948530334960802,0.8132979172292498,,,0.4886908841672378,-0.022618231665524346,,,0.505643824778024,1.314675935396469
majority_prev_day,toutes,5,1,1440,1440,0.48541666666666666,0.48514698616600793,0.48514698616600793,0.2509833333333334,0.6951151107303378,0.8714281596078648,-1.1276920185423673,0.8702749952086173,0.4888888888888889,-0.02569444444444441,-1.1582934795261783,0.8766278542995403,0.4874574442060376,0.6000181889835869
majority_prev_day,toutes,10,1,1454,1454,0.5144429160935351,0.5140834807952535,0.5140834807952535,0.24982228335625856,0.6927917711326039,0.1411335866367168,1.0753096686698993,0.14111805442630848,0.49174690508940855,0.0061898211829436445,1.0939112951796492,0.13699694220114927,0.5302432207617689,-0.2142243785167947
majority_prev_day,toutes,15,1,1459,1459,0.49554489376285127,0.4950385224234722,0.4950385224234721,0.25057820424948596,0.6943044200096269,0.6430055401243391,-0.37943541380547163,0.6478177215988168,0.4886908841672378,-0.015764222069910905,-0.385345923144917,0.6500094291039233,0.5065526664213076,0.9428097372504582
