model,sample,horizon,h_eff,n,n_eff,accuracy,balanced_accuracy,auc,brier,log_loss,p_binom,pt_stat,pt_pvalue,base_rate,excess_accuracy,pt_hac_t,pt_hac_pvalue,acc_w,dm_brier_vs_reversal_t
timesfm,toutes,5,1,567,567,0.5149911816578483,0.5148194271481943,0.5019676214196762,0.26108003458190066,0.7179943851585789,0.25082927673436406,0.7061127666291187,0.24005900650876494,0.48500881834215165,0.0,0.7172137966436505,0.2366210937964961,0.48516631293704204,2.523821394364273
timesfm,toutes,10,1,585,585,0.49401709401709404,0.49391612315029104,0.48749327909858103,0.26721250178449063,0.7325010283762229,0.6295709507004472,-0.294774601266098,0.6159169649870552,0.5025641025641026,-0.008547008547008517,-0.2901540658687152,0.6141508123217649,0.509280426918396,3.2154091870298007
timesfm,toutes,15,1,584,584,0.5136986301369864,0.5130904183535763,0.49533532828727334,0.2681487496636363,0.736346717129284,0.2674150499445465,0.6338858299961906,0.2630776668795975,0.511986301369863,0.00171232876712335,0.6392362176574513,0.2613346371775622,0.5284203292738721,3.6284555900118596
reversal_h,toutes,5,1,567,567,0.5167548500881834,0.5167434620174346,0.5165442092154421,0.24978059964726626,0.6927083486607819,0.2248602585981711,0.7977291924377871,0.2125138296735395,0.48500881834215165,0.0017636684303351524,0.8297116129349955,0.20335092701670454,0.49667125800517486,
reversal_h,toutes,10,1,585,585,0.49572649572649574,0.4957395329265727,0.49807139350585594,0.2504540170940171,0.694055905437142,0.5979468084231543,-0.2062702768326476,0.5817101025364667,0.5025641025641026,-0.006837606837606813,-0.21450416047566317,0.5849230385595618,0.4900114059392045,
reversal_h,toutes,15,1,584,584,0.553082191780822,0.5526198439241917,0.5575016135656868,0.24809794520547948,0.6893412497458604,0.005766176543584448,2.5468322328278092,0.005435284003365665,0.511986301369863,0.04109589041095896,2.529844657733554,0.005705651832363166,0.533273052788996,
momentum_h,toutes,5,1,567,567,0.48677248677248675,0.4853051058530511,0.4834557907845579,0.2509798941798942,0.6951082182030219,0.7491707232656359,-0.7034429743337726,0.7591101334568504,0.48500881834215165,-0.02821869488536155,-0.7281368606427429,0.7667350941608695,0.5170729425300588,0.7647151409511705
momentum_h,toutes,10,1,585,585,0.49914529914529915,0.4993162213338944,0.5019286064941441,0.250317264957265,0.6937822551544974,0.532946248844409,-0.03317848291511644,0.5132338715897065,0.5025641025641026,-0.0034188034188034067,-0.0354584392439197,0.5141429069010675,0.49878610885348595,-0.08897248636500081
momentum_h,toutes,15,1,584,584,0.4383561643835616,0.4392653875491404,0.4424983864343132,0.2526869863013699,0.6985242316193654,0.998753885209984,-2.9462624942628852,0.9983918033972982,0.511986301369863,-0.07363013698630139,-2.9050643336370046,0.9981641118943002,0.46188522736262205,2.7753816153799367
always_up,toutes,5,1,567,567,0.48500881834215165,0.5,0.5,0.2509996472663139,0.6951477560145521,0.7751397414018288,,,0.48500881834215165,-0.029982363315696647,,,0.522752737695815,1.0594947084233017
always_up,toutes,10,1,585,585,0.5025641025641026,0.5,0.5,0.2502974358974359,0.6937425835314487,0.46705375115559106,,,0.5025641025641026,0.0,,,0.5034009747975442,-0.13491184761902042
always_up,toutes,15,1,584,584,0.511986301369863,0.5,0.5,0.24992054794520546,0.6929884052267973,0.29532681131432204,,,0.511986301369863,0.0,,,0.4959408185522777,1.5883421485581393
majority_prev_day,toutes,5,1,567,567,0.5114638447971781,0.5110772104607721,0.511077210460772,0.2499414462081129,0.6930302240655168,0.30716681495437725,0.527949014112298,0.2987673620825003,0.48500881834215165,-0.003527336860670194,0.5017293159535441,0.30792896998293806,0.5208223444876355,0.13632110043051496
majority_prev_day,toutes,10,1,585,585,0.49230769230769234,0.49240830352759657,0.49240830352759657,0.25070769230769235,0.6945635343793825,0.6603432642295313,-0.3678311306865123,0.6435004225239973,0.5025641025641026,-0.01025641025641022,-0.3622273801670973,0.6414089397759997,0.5109912488217776,0.22526345536584946
majority_prev_day,toutes,15,1,584,584,0.511986301369863,0.5127325001466878,0.5127325001466878,0.24992054794520546,0.6929884052267973,0.29532681131432204,0.6169133253015728,0.26864594853580503,0.511986301369863,0.0,0.613538534895429,0.2697601555120994,0.5248295960505677,1.5731697712681063
