slug,S,start_ts,duration,sigma_timesfm_bp,sigma_timesfm_iqr_bp,sigma_rv_bp,amplitude_quantile_train,quintile_train
btc-updown-15m-1788480000,2026-09-04 00:00:00+00:00,1788480000,15m,16.2744,15.2753,17.8864,0.503968,3
btc-updown-5m-1788480000,2026-09-04 00:00:00+00:00,1788480000,5m,11.0856,10.5257,10.9531,0.566468,3
btc-updown-5m-1788480300,2026-09-04 00:05:00+00:00,1788480300,5m,12.4321,12.062,11.3459,0.657738,4
btc-updown-5m-1788480600,2026-09-04 00:10:00+00:00,1788480600,5m,12.0805,11.669,10.8475,0.638889,4
btc-updown-15m-1788480900,2026-09-04 00:15:00+00:00,1788480900,15m,16.0817,15.1704,20.1588,0.498016,3
btc-updown-5m-1788480900,2026-09-04 00:15:00+00:00,1788480900,5m,11.3246,10.8517,12.3447,0.58631,3
btc-updown-5m-1788481200,2026-09-04 00:20:00+00:00,1788481200,5m,12.9185,12.5439,13.1144,0.681548,4
btc-updown-5m-1788481500,2026-09-04 00:25:00+00:00,1788481500,5m,12.2624,11.9549,12.4711,0.649802,4
btc-updown-15m-1788481800,2026-09-04 00:30:00+00:00,1788481800,15m,15.4559,14.9638,20.2275,0.469246,3
btc-updown-5m-1788481800,2026-09-04 00:30:00+00:00,1788481800,5m,11.2127,11.0135,12.3868,0.578373,3
btc-updown-5m-1788482100,2026-09-04 00:35:00+00:00,1788482100,5m,12.8097,12.4454,13.6625,0.677083,4
btc-updown-5m-1788482400,2026-09-04 00:40:00+00:00,1788482400,5m,13.7299,13.1847,12.6687,0.71131,4
btc-updown-15m-1788482700,2026-09-04 00:45:00+00:00,1788482700,15m,23.2906,22.0802,28.7986,0.736607,4
btc-updown-5m-1788482700,2026-09-04 00:45:00+00:00,1788482700,5m,19.0999,18.4131,17.6355,0.875992,5
btc-updown-5m-1788483000,2026-09-04 00:50:00+00:00,1788483000,5m,15.0529,14.6714,17.855,0.770833,4
btc-updown-5m-1788483300,2026-09-04 00:55:00+00:00,1788483300,5m,16.1183,15.5343,18.5069,0.808532,5
btc-updown-15m-1788483600,2026-09-04 01:00:00+00:00,1788483600,15m,22.7145,21.8564,28.001,0.724702,4
btc-updown-5m-1788483600,2026-09-04 01:00:00+00:00,1788483600,5m,15.8142,15.2199,17.147,0.796627,4
btc-updown-5m-1788483900,2026-09-04 01:05:00+00:00,1788483900,5m,13.6492,13.1346,15.8885,0.709325,4
btc-updown-5m-1788484200,2026-09-04 01:10:00+00:00,1788484200,5m,13.9404,13.4544,15.7839,0.72123,4
btc-updown-15m-1788484500,2026-09-04 01:15:00+00:00,1788484500,15m,18.7088,17.8097,23.9154,0.605159,4
btc-updown-5m-1788484500,2026-09-04 01:15:00+00:00,1788484500,5m,12.6646,12.3048,14.6451,0.667659,4
btc-updown-5m-1788484800,2026-09-04 01:20:00+00:00,1788484800,5m,9.3104,9.0193,13.6386,0.44494,3
btc-updown-5m-1788485100,2026-09-04 01:25:00+00:00,1788485100,5m,11.239,11.0222,13.5709,0.580853,3
btc-updown-15m-1788485400,2026-09-04 01:30:00+00:00,1788485400,15m,17.6139,16.8418,21.426,0.56498,3
btc-updown-5m-1788485400,2026-09-04 01:30:00+00:00,1788485400,5m,11.5529,11.2655,13.1207,0.59871,3
btc-updown-5m-1788485700,2026-09-04 01:35:00+00:00,1788485700,5m,11.7218,11.2858,12.9653,0.611607,4
btc-updown-5m-1788486000,2026-09-04 01:40:00+00:00,1788486000,5m,10.8413,10.5072,12.3384,0.552083,3
btc-updown-15m-1788486300,2026-09-04 01:45:00+00:00,1788486300,15m,16.3259,15.6319,19.9675,0.506448,3
btc-updown-5m-1788486300,2026-09-04 01:45:00+00:00,1788486300,5m,10.5408,10.2598,12.2276,0.53125,3
btc-updown-5m-1788486600,2026-09-04 01:50:00+00:00,1788486600,5m,10.5861,10.2478,11.4849,0.536706,3
btc-updown-5m-1788486900,2026-09-04 01:55:00+00:00,1788486900,5m,12.8531,12.4718,11.4686,0.678571,4
btc-updown-15m-1788487200,2026-09-04 02:00:00+00:00,1788487200,15m,17.6792,16.9026,17.2721,0.566964,3
btc-updown-5m-1788487200,2026-09-04 02:00:00+00:00,1788487200,5m,11.7691,11.3486,10.577,0.613095,4
btc-updown-5m-1788487500,2026-09-04 02:05:00+00:00,1788487500,5m,10.6071,10.3405,10.1894,0.538194,3
btc-updown-5m-1788487800,2026-09-04 02:10:00+00:00,1788487800,5m,10.6347,10.3961,10.2556,0.540179,3
btc-updown-15m-1788488100,2026-09-04 02:15:00+00:00,1788488100,15m,14.8786,14.3968,16.0088,0.442956,3
btc-updown-5m-1788488100,2026-09-04 02:15:00+00:00,1788488100,5m,9.22625,9.06973,9.80332,0.438492,3
btc-updown-5m-1788488400,2026-09-04 02:20:00+00:00,1788488400,5m,9.3271,9.16954,9.96324,0.446925,3
btc-updown-5m-1788488700,2026-09-04 02:25:00+00:00,1788488700,5m,8.65078,8.37771,9.37091,0.395833,2
btc-updown-15m-1788489000,2026-09-04 02:30:00+00:00,1788489000,15m,13.6277,12.9395,14.872,0.384921,2
btc-updown-5m-1788489000,2026-09-04 02:30:00+00:00,1788489000,5m,8.18137,7.92928,9.10721,0.363095,2
